f,d,h1,h2,TM,,,,,,,,,,,
0.6,367.3089,668.5187,154.9268,0.817412828,,,,,,,,,,,
0.6,367.3089,668.5187,160.9761,0.81778077,,,,,,,,,,,
0.6,367.3089,668.5187,194.0026,0.811421451,,,,,,,,,,,
0.6,367.3089,668.5187,199.4684,0.809782865,,,,,,,,,,,
0.6,367.3089,668.5187,199.9801,0.809622439,,,,,,,,,,,
0.6,367.3089,684.3943,70.4817,0.823022331,,,,,,,,,,,
0.6,367.3089,684.3943,83.0101,0.814667775,,,,,,,,,,,
0.6,367.3089,684.3943,97.452,0.809775582,,,,,,,,,,,
0.6,367.3089,684.3943,104.1585,0.809863172,,,,,,,,,,,
0.6,367.3089,684.3943,107.597,0.810518697,,,,,,,,,,,
0.6,367.3089,684.3943,154.9268,0.842113936,,,,,,,,,,,
0.6,367.3089,684.3943,160.9761,0.845125241,,,,,,,,,,,
0.6,367.3089,684.3943,194.0026,0.840755098,,,,,,,,,,,
0.6,367.3089,684.3943,199.4684,0.837045387,,,,,,,,,,,
0.6,367.3089,684.3943,199.9801,0.836673079,,,,,,,,,,,
0.6,367.3089,689.3509,70.4817,0.826841172,,,,,,,,,,,
0.6,367.3089,689.3509,83.0101,0.817019743,,,,,,,,,,,
0.6,367.3089,689.3509,97.452,0.811512184,,,,,,,,,,,
0.6,367.3089,689.3509,104.1585,0.811717046,,,,,,,,,,,
0.6,367.3089,689.3509,107.597,0.812532507,,,,,,,,,,,
0.6,367.3089,689.3509,154.9268,0.850015022,,,,,,,,,,,
0.6,367.3089,689.3509,160.9761,0.853637989,,,,,,,,,,,
0.6,367.3089,689.3509,194.0026,0.848096864,,,,,,,,,,,
0.6,367.3089,689.3509,199.4684,0.843583418,,,,,,,,,,,
0.6,367.3089,689.3509,199.9801,0.8431327,,,,,,,,,,,
0.6,367.3089,692.6676,70.4817,0.828927691,,,,,,,,,,,
0.6,367.3089,692.6676,83.0101,0.818276381,,,,,,,,,,,
0.6,367.3089,692.6676,97.452,0.812533156,,,,,,,,,,,
0.6,367.3089,692.6676,104.1585,0.812910591,,,,,,,,,,,
0.6,367.3089,692.6676,107.597,0.813855648,,,,,,,,,,,
0.6,367.3089,692.6676,154.9268,0.85533046,,,,,,,,,,,
0.6,367.3089,692.6676,160.9761,0.859293817,,,,,,,,,,,
0.6,367.3089,692.6676,194.0026,0.852514984,,,,,,,,,,,
0.6,367.3089,692.6676,199.4684,0.847422612,,,,,,,,,,,
0.6,367.3089,692.6676,199.9801,0.84689466,,,,,,,,,,,
