f,d,h1,h2,T(1)
0.444,367.3089,692.6676,199.4684,0.802903982
0.444,367.3089,692.6676,199.9801,0.801485233
0.444,367.3089,701.542,70.4817,0.70466165
0.444,367.3089,701.542,83.0101,0.674525804
0.444,367.3089,701.542,97.452,0.661179594
0.444,367.3089,701.542,104.1585,0.661921516
0.444,367.3089,701.542,107.597,0.663881591
0.444,367.3089,701.542,154.9268,0.785805931
0.444,367.3089,701.542,160.9761,0.806292319
0.444,367.3089,701.542,194.0026,0.793016805
0.444,367.3089,701.542,199.4684,0.771074751
0.444,367.3089,701.542,199.9801,0.768950841
0.444,367.3089,704.0717,70.4817,0.693185426
0.444,367.3089,704.0717,83.0101,0.664725926
0.444,367.3089,704.0717,97.452,0.654314867
0.444,367.3089,704.0717,104.1585,0.656786024
0.444,367.3089,704.0717,107.597,0.659744283
0.444,367.3089,704.0717,154.9268,0.796305985
0.444,367.3089,704.0717,160.9761,0.815937195
0.444,367.3089,704.0717,194.0026,0.783583291
0.444,367.3089,704.0717,199.4684,0.760015807
0.444,367.3089,704.0717,199.9801,0.757789248
0.444,367.3089,709.8536,70.4817,0.66814215
0.444,367.3089,709.8536,83.0101,0.644225352
0.444,367.3089,709.8536,97.452,0.640840098
0.444,367.3089,709.8536,104.1585,0.647454027
0.444,367.3089,709.8536,107.597,0.65278372
0.444,367.3089,709.8536,154.9268,0.81817329
0.444,367.3089,709.8536,160.9761,0.833793901
0.444,367.3089,709.8536,194.0026,0.758862451
0.444,367.3089,709.8536,199.4684,0.733192773
0.444,367.3089,709.8536,199.9801,0.730866345
0.444,367.3089,712.8955,70.4817,0.655764106
0.444,367.3089,712.8955,83.0101,0.634497624
0.444,367.3089,712.8955,97.452,0.635030201
0.444,367.3089,712.8955,104.1585,0.643891278
0.444,367.3089,712.8955,107.597,0.65049829
0.444,367.3089,712.8955,154.9268,0.827789984
0.444,367.3089,712.8955,160.9761,0.840177552
0.444,367.3089,712.8955,194.0026,0.744746614
0.444,367.3089,712.8955,199.4684,0.718755809
0.444,367.3089,712.8955,199.9801,0.716412858
0.444,367.3089,721.9523,70.4817,0.622587864
0.444,367.3089,721.9523,83.0101,0.610010275
0.444,367.3089,721.9523,97.452,0.622945376
0.444,367.3089,721.9523,104.1585,0.638753941
0.444,367.3089,721.9523,107.597,0.649200831
0.444,367.3089,721.9523,154.9268,0.844447881
0.444,367.3089,721.9523,160.9761,0.843868645
0.444,367.3089,721.9523,194.0026,0.701580071
0.444,367.3089,721.9523,199.4684,0.676696567
0.444,367.3089,721.9523,199.9801,0.674540563
0.444,367.3089,752.8339,70.4817,0.55960441
0.444,367.3089,752.8339,83.0101,0.581237592
0.444,367.3089,752.8339,97.452,0.636523075
0.444,367.3089,752.8339,104.1585,0.670841162
0.444,367.3089,752.8339,107.597,0.689533528
0.444,367.3089,752.8339,154.9268,0.752852192
0.444,367.3089,752.8339,160.9761,0.72628241
0.444,367.3089,752.8339,194.0026,0.58485729
0.444,367.3089,752.8339,199.4684,0.57182459
0.444,367.3089,752.8339,199.9801,0.570827519
0.444,367.3089,768.0343,70.4817,0.558789408
0.444,367.3089,768.0343,83.0101,0.594561079
0.444,367.3089,768.0343,97.452,0.655260165
0.444,367.3089,768.0343,104.1585,0.683898542
0.444,367.3089,768.0343,107.597,0.697044009
0.444,367.3089,768.0343,154.9268,0.682731416
0.444,367.3089,768.0343,160.9761,0.660532167
0.444,367.3089,768.0343,194.0026,0.554676722
0.444,367.3089,768.0343,199.4684,0.5486884
0.444,367.3089,768.0343,199.9801,0.54836061
0.444,367.3089,768.0701,70.4817,0.558808013
0.444,367.3089,768.0701,83.0101,0.594602863
0.444,367.3089,768.0701,97.452,0.655283379
0.444,367.3089,768.0701,104.1585,0.683889884
0.444,367.3089,768.0701,107.597,0.69700796
0.444,367.3089,768.0701,154.9268,0.682582572
0.444,367.3089,768.0701,160.9761,0.660395901
0.444,367.3089,768.0701,194.0026,0.554630457
0.444,367.3089,768.0701,199.4684,0.548659894
0.444,367.3089,768.0701,199.9801,0.548330502
0.444,367.3089,770.0427,70.4817,0.559996516
0.444,367.3089,770.0427,83.0101,0.596945654
0.444,367.3089,770.0427,97.452,0.656383319
0.444,367.3089,770.0427,104.1585,0.683015261
0.444,367.3089,770.0427,107.597,0.694826667
0.444,367.3089,770.0427,154.9268,0.674612213
0.444,367.3089,770.0427,160.9761,0.653134106
0.444,367.3089,770.0427,194.0026,0.552195739
0.444,367.3089,770.0427,199.4684,0.54714507
0.444,367.3089,770.0427,199.9801,0.546906537
0.444,367.3089,782.7278,70.4817,0.571971159
0.444,367.3089,782.7278,83.0101,0.608890017
0.444,367.3089,782.7278,97.452,0.646834478
0.444,367.3089,782.7278,104.1585,0.656476986
0.444,367.3089,782.7278,107.597,0.659211619
0.444,367.3089,782.7278,154.9268,0.630955949
0.444,367.3089,782.7278,160.9761,0.613816819
0.444,367.3089,782.7278,194.0026,0.544431964
0.444,367.3089,782.7278,199.4684,0.545126133
0.444,367.3089,782.7278,199.9801,0.545405296
0.444,367.3089,788.0052,70.4817,0.577373136
0.444,367.3089,788.0052,83.0101,0.609168357
0.444,367.3089,788.0052,97.452,0.632367218
0.444,367.3089,788.0052,104.1585,0.63502616
0.444,367.3089,788.0052,107.597,0.635114152
0.444,367.3089,788.0052,154.9268,0.616511287
0.444,367.3089,788.0052,160.9761,0.601096812
0.444,367.3089,788.0052,194.0026,0.545011383
0.444,367.3089,788.0052,199.4684,0.547750873
0.444,367.3089,788.0052,199.9801,0.548203221
0.444,367.3089,791.1283,70.4817,0.580002113
0.444,367.3089,791.1283,83.0101,0.607109264
0.444,367.3089,791.1283,97.452,0.621001447
0.444,367.3089,791.1283,104.1585,0.620339476
0.444,367.3089,791.1283,107.597,0.619443964
0.444,367.3089,791.1283,154.9268,0.609031039
0.444,367.3089,791.1283,160.9761,0.594648394
0.444,367.3089,791.1283,194.0026,0.546275027
0.444,367.3089,791.1283,199.4684,0.550047798
0.444,367.3089,791.1283,199.9801,0.55057838
0.444,367.3089,798.9367,70.4817,0.582367267
0.444,367.3089,798.9367,83.0101,0.59302502
0.444,367.3089,798.9367,97.452,0.585282226
0.444,367.3089,798.9367,104.1585,0.58015386
0.444,367.3089,798.9367,107.597,0.578902942
0.444,367.3089,798.9367,154.9268,0.593552957
0.444,367.3089,798.9367,160.9761,0.581694963
0.444,367.3089,798.9367,194.0026,0.551732909
0.444,367.3089,798.9367,199.4684,0.557187008
0.444,367.3089,798.9367,199.9801,0.557818807
0.444,367.3089,799.9602,70.4817,0.582058522
0.444,367.3089,799.9602,83.0101,0.59016116
0.444,367.3089,799.9602,97.452,0.580075751
0.444,367.3089,799.9602,104.1585,0.574784067
0.444,367.3089,799.9602,107.597,0.57371798
0.444,367.3089,799.9602,154.9268,0.59183973
0.444,367.3089,799.9602,160.9761,0.58034446
0.444,367.3089,799.9602,194.0026,0.552619319
0.444,367.3089,799.9602,199.4684,0.558166209
0.444,367.3089,799.9602,199.9801,0.558800952
0.444,384.0135,540.9634,70.4817,0.69615474
0.444,384.0135,540.9634,83.0101,0.655165826
0.444,384.0135,540.9634,97.452,0.63604222
0.444,384.0135,540.9634,104.1585,0.638072517
0.444,384.0135,540.9634,107.597,0.641669754
0.444,384.0135,540.9634,154.9268,0.79239092
0.444,384.0135,540.9634,160.9761,0.810431448
0.444,384.0135,540.9634,194.0026,0.795941864
0.444,384.0135,540.9634,199.4684,0.77328091
0.444,384.0135,540.9634,199.9801,0.771006972
0.444,384.0135,566.0202,70.4817,0.605897208
0.444,384.0135,566.0202,83.0101,0.599015501
0.444,384.0135,566.0202,97.452,0.628888275
0.444,384.0135,566.0202,104.1585,0.656076072
0.444,384.0135,566.0202,107.597,0.673041772
0.444,384.0135,566.0202,154.9268,0.90731658
0.444,384.0135,566.0202,160.9761,0.895966297
0.444,384.0135,566.0202,194.0026,0.695852185
0.444,384.0135,566.0202,199.4684,0.665617664
0.444,384.0135,566.0202,199.9801,0.663043429
0.444,384.0135,568.305,70.4817,0.600916597
0.444,384.0135,568.305,83.0101,0.597795962
0.444,384.0135,568.305,97.452,0.6324419
0.444,384.0135,568.305,104.1585,0.662011518
0.444,384.0135,568.305,107.597,0.68021737
0.444,384.0135,568.305,154.9268,0.911738073
0.444,384.0135,568.305,160.9761,0.895778103
0.444,384.0135,568.305,194.0026,0.685603593
0.444,384.0135,568.305,199.4684,0.656309012
0.444,384.0135,568.305,199.9801,0.653847517
0.444,384.0135,574.1881,70.4817,0.591127353
0.444,384.0135,574.1881,83.0101,0.597860537
0.444,384.0135,574.1881,97.452,0.644938851
0.444,384.0135,574.1881,104.1585,0.680637752
0.444,384.0135,574.1881,107.597,0.701982964
0.444,384.0135,574.1881,154.9268,0.915803633
0.444,384.0135,574.1881,160.9761,0.88811805
0.444,384.0135,574.1881,194.0026,0.660813155
0.444,384.0135,574.1881,199.4684,0.634593659
0.444,384.0135,574.1881,199.9801,0.63244241
0.444,384.0135,591.8038,70.4817,0.58902663
0.444,384.0135,591.8038,83.0101,0.626252439
0.444,384.0135,591.8038,97.452,0.71060895
0.444,384.0135,591.8038,104.1585,0.762702187
0.444,384.0135,591.8038,107.597,0.791404599
0.444,384.0135,591.8038,154.9268,0.870047964
0.444,384.0135,591.8038,160.9761,0.819916928
0.444,384.0135,591.8038,194.0026,0.60785243
0.444,384.0135,591.8038,199.4684,0.593595104
0.444,384.0135,591.8038,199.9801,0.592591802
0.444,384.0135,594.9041,70.4817,0.592974368
0.444,384.0135,594.9041,83.0101,0.635659521
0.444,384.0135,594.9041,97.452,0.726075562
0.444,384.0135,594.9041,104.1585,0.780190465
0.444,384.0135,594.9041,107.597,0.80946568
0.444,384.0135,594.9041,154.9268,0.855783762
0.444,384.0135,594.9041,160.9761,0.804502112
0.444,384.0135,594.9041,194.0026,0.602478993
0.444,384.0135,594.9041,199.4684,0.590504249
0.444,384.0135,594.9041,199.9801,0.589711551
0.444,384.0135,596.1558,70.4817,0.594942357
0.444,384.0135,596.1558,83.0101,0.639815631
0.444,384.0135,596.1558,97.452,0.732587931
0.444,384.0135,596.1558,104.1585,0.787371778
0.444,384.0135,596.1558,107.597,0.816782665
0.444,384.0135,596.1558,154.9268,0.84977183
0.444,384.0135,596.1558,160.9761,0.798236896
0.444,384.0135,596.1558,194.0026,0.600672885
0.444,384.0135,596.1558,199.4684,0.589617048
0.444,384.0135,596.1558,199.9801,0.588908146
0.444,384.0135,608.3169,70.4817,0.625125945
0.444,384.0135,608.3169,83.0101,0.690514492
0.444,384.0135,608.3169,97.452,0.800510768
0.444,384.0135,608.3169,104.1585,0.856246759
0.444,384.0135,608.3169,107.597,0.883217191
0.444,384.0135,608.3169,154.9268,0.788829861
0.444,384.0135,608.3169,160.9761,0.740431705
0.444,384.0135,608.3169,194.0026,0.593953226
0.444,384.0135,608.3169,199.4684,0.591943149
0.444,384.0135,608.3169,199.9801,0.592073702
0.444,384.0135,609.9244,70.4817,0.630596994
0.444,384.0135,609.9244,83.0101,0.698438942
0.444,384.0135,609.9244,97.452,0.809599214
0.444,384.0135,609.9244,104.1585,0.864505047
0.444,384.0135,609.9244,107.597,0.890584908
0.444,384.0135,609.9244,154.9268,0.781018266
0.444,384.0135,609.9244,160.9761,0.733595317
0.444,384.0135,609.9244,194.0026,0.594555583
0.444,384.0135,609.9244,199.4684,0.593741755
0.444,384.0135,609.9244,199.9801,0.593988099
0.444,384.0135,615.194,70.4817,0.650830686
0.444,384.0135,615.194,83.0101,0.725884321
0.444,384.0135,615.194,97.452,0.838206405
0.444,384.0135,615.194,104.1585,0.888611341
0.444,384.0135,615.194,107.597,0.910851354
