lambda (nm),n,alpha (deg),f,TE
1300,1.2,30,0.34,0.887535256
1300,1.2,30,0.36,0.892520045
1300,1.2,30,0.38,0.905334336
1300,1.2,30,0.4,0.92374051
1300,1.2,30,0.42,0.944182624
1300,1.2,30,0.44,0.962005949
1300,1.2,30,0.46,0.972740826
1300,1.2,30,0.48,0.973490283
1300,1.2,30,0.5,0.963675116
1300,1.2,32,0.3,0.892941016
1300,1.2,32,0.32,0.883251634
1300,1.2,32,0.34,0.881211737
1300,1.2,32,0.36,0.887614907
1300,1.2,32,0.38,0.901750099
1300,1.2,32,0.4,0.921221838
1300,1.2,32,0.42,0.942262268
1300,1.2,32,0.44,0.960065532
1300,1.2,32,0.46,0.970125219
1300,1.2,32,0.48,0.969653746
1300,1.2,32,0.5,0.958311895
1300,1.2,34,0.3,0.855994688
1300,1.2,34,0.32,0.847725812
1300,1.2,34,0.34,0.847505507
1300,1.2,34,0.36,0.855986943
1300,1.2,34,0.38,0.872286737
1300,1.2,34,0.4,0.893762901
1300,1.2,34,0.42,0.916275129
1300,1.2,34,0.44,0.934663806
1300,1.2,34,0.46,0.94420454
1300,1.2,34,0.48,0.942175673
1300,1.2,34,0.5,0.928600849
1300,1.2,36,0.3,0.795031523
1300,1.2,36,0.32,0.788283435
1300,1.2,36,0.34,0.790294022
1300,1.2,36,0.36,0.801558365
1300,1.2,36,0.38,0.820937599
1300,1.2,36,0.4,0.84534303
1300,1.2,36,0.42,0.869909451
1300,1.2,36,0.44,0.888697594
1300,1.2,36,0.46,0.896472319
1300,1.2,36,0.48,0.89063435
1300,1.2,36,0.5,0.871969241
1300,1.2,38,0.3,0.71327247
1300,1.2,38,0.32,0.710113717
1300,1.2,38,0.34,0.717732661
1300,1.2,38,0.36,0.735875313
1300,1.2,38,0.38,0.761234241
1300,1.2,38,0.4,0.786188703
1300,1.2,38,0.42,0.79925424
1300,1.2,38,0.44,0.788740741
1300,1.2,38,0.46,0.74905569
1300,1.2,38,0.48,0.683787393
1300,1.2,38,0.5,0.602527256
1300,1.2,40,0.3,0.623473884
1300,1.2,40,0.32,0.615250882
1300,1.2,40,0.34,0.616161951
1300,1.2,40,0.36,0.626935067
1300,1.2,40,0.38,0.647127516
1300,1.2,40,0.4,0.67482702
1300,1.2,40,0.42,0.706317099
1300,1.2,40,0.44,0.736357901
1300,1.2,40,0.46,0.759098982
1300,1.2,40,0.48,0.769915112
1300,1.2,40,0.5,0.76693689
1300,1.2,42,0.3,0.525317503
1300,1.2,42,0.32,0.517989131
1300,1.2,42,0.34,0.521011238
1300,1.2,42,0.36,0.535302161
1300,1.2,42,0.38,0.560480524
1300,1.2,42,0.4,0.594144136
1300,1.2,42,0.42,0.630977216
1300,1.2,42,0.44,0.662954478
1300,1.2,42,0.46,0.681179009
1300,1.2,42,0.48,0.67962821
1300,1.2,42,0.5,0.657550129
1300,1.2,44,0.3,0.426042051
1300,1.2,44,0.32,0.418806873
1300,1.2,44,0.34,0.423217481
1300,1.2,44,0.36,0.440888884
1300,1.2,44,0.38,0.472031445
1300,1.2,44,0.4,0.513506119
1300,1.2,44,0.42,0.55571109
1300,1.2,44,0.44,0.581571783
1300,1.2,44,0.46,0.572315319
1300,1.2,44,0.48,0.519442221
1300,1.2,44,0.5,0.428693687
1300,1.2,46,0.3,0.32723927
1300,1.2,46,0.32,0.320019361
1300,1.2,46,0.34,0.327376862
1300,1.2,46,0.36,0.352938171
1300,1.2,46,0.38,0.39361894
1300,1.2,46,0.4,0.414049656
1300,1.2,46,0.42,0.335571286
1300,1.2,46,0.44,0.179202332
1300,1.2,46,0.46,0.062927945
1300,1.2,46,0.48,0.011329977
1300,1.2,46,0.5,0.006263878
1300,1.2,48,0.3,0.111624272
1300,1.2,48,0.32,0.002433208
1300,1.2,48,0.34,0.070292809
1300,1.2,48,0.36,0.104059906
1300,1.2,48,0.38,0.107669545
1300,1.2,48,0.4,0.105345252
1300,1.2,48,0.42,0.103978967
1300,1.2,48,0.44,0.10621927
1300,1.2,48,0.46,0.113507067
1300,1.2,48,0.48,0.126879447
1300,1.2,48,0.5,0.146731853
1300,1.2,50,0.3,0.196777144
1300,1.2,50,0.32,0.173301948
1300,1.2,50,0.34,0.154333335
1300,1.2,50,0.36,0.139709883
1300,1.2,50,0.38,0.129199772
1300,1.2,50,0.4,0.122590462
1300,1.2,50,0.42,0.119741914
1300,1.2,50,0.44,0.120625303
1300,1.2,50,0.46,0.125115904
1300,1.2,50,0.48,0.132792665
1300,1.2,50,0.5,0.142680264
1300,1.3,30,0.3,0.833963546
1300,1.3,30,0.32,0.81565774
1300,1.3,30,0.34,0.809000038
1300,1.3,30,0.36,0.814410971
1300,1.3,30,0.38,0.830786445
1300,1.3,30,0.4,0.855463938
1300,1.3,30,0.42,0.884443833
1300,1.3,30,0.44,0.912638218
1300,1.3,30,0.46,0.934985563
1300,1.3,30,0.48,0.948042372
1300,1.3,30,0.5,0.950679302
1300,1.3,32,0.3,0.828242975
1300,1.3,32,0.32,0.811082629
1300,1.3,32,0.34,0.805488591
1300,1.3,32,0.36,0.811789331
1300,1.3,32,0.38,0.828789381
1300,1.3,32,0.4,0.853708454
1300,1.3,32,0.42,0.882413666
1300,1.3,32,0.44,0.909770702
1300,1.3,32,0.46,0.930768561
1300,1.3,32,0.48,0.942179692
1300,1.3,32,0.5,0.943135474
1300,1.3,34,0.3,0.797748174
