lambda (nm),n,alpha (deg),f,TE
1600,1.6,34,0.36,0.807775152
1600,1.6,34,0.38,0.816877363
1600,1.6,34,0.4,0.832224049
1600,1.6,34,0.42,0.8516376
1600,1.6,34,0.44,0.872631311
1600,1.6,34,0.46,0.892809458
1600,1.6,34,0.48,0.910190468
1600,1.6,34,0.5,0.923555646
1600,1.6,36,0.3,0.860589985
1600,1.6,36,0.32,0.845322338
1600,1.6,36,0.34,0.837957532
1600,1.6,36,0.36,0.838849968
1600,1.6,36,0.38,0.847362783
1600,1.6,36,0.4,0.861903717
1600,1.6,36,0.42,0.880297724
1600,1.6,36,0.44,0.900101731
1600,1.6,36,0.46,0.919028901
1600,1.6,36,0.48,0.935214647
1600,1.6,36,0.5,0.94754087
1600,1.6,38,0.3,0.875116086
1600,1.6,38,0.32,0.860091404
1600,1.6,38,0.34,0.852826783
1600,1.6,38,0.36,0.8536387
1600,1.6,38,0.38,0.861857471
1600,1.6,38,0.4,0.87585827
1600,1.6,38,0.42,0.89347486
1600,1.6,38,0.44,0.91230922
1600,1.6,38,0.46,0.930172667
1600,1.6,38,0.48,0.945312707
1600,1.6,38,0.5,0.956720348
1600,1.6,40,0.3,0.872923296
1600,1.6,40,0.32,0.858627724
1600,1.6,40,0.34,0.851902163
1600,1.6,40,0.36,0.853020456
1600,1.6,40,0.38,0.861284426
1600,1.6,40,0.4,0.875045194
1600,1.6,40,0.42,0.89214154
1600,1.6,40,0.44,0.910216892
1600,1.6,40,0.46,0.927170364
1600,1.6,40,0.48,0.941363593
1600,1.6,40,0.5,0.951913783
1600,1.6,42,0.3,0.855192272
1600,1.6,42,0.32,0.842093466
1600,1.6,42,0.34,0.836347431
1600,1.6,42,0.36,0.838178111
1600,1.6,42,0.38,0.84685841
1600,1.6,42,0.4,0.860716348
1600,1.6,42,0.42,0.877584871
1600,1.6,42,0.44,0.895138498
1600,1.6,42,0.46,0.911349482
1600,1.6,42,0.48,0.924694139
1600,1.6,42,0.5,0.934433111
1600,1.6,44,0.3,0.823413163
1600,1.6,44,0.32,0.811925509
1600,1.6,44,0.34,0.807569488
1600,1.6,44,0.36,0.810512844
1600,1.6,44,0.38,0.819998284
1600,1.6,44,0.4,0.834327526
1600,1.6,44,0.42,0.851311639
1600,1.6,44,0.44,0.868636997
1600,1.6,44,0.46,0.884325676
1600,1.6,44,0.48,0.896960513
1600,1.6,44,0.5,0.90595649
1600,1.6,46,0.3,0.779371245
1600,1.6,46,0.32,0.769814356
1600,1.6,46,0.34,0.767187621
1600,1.6,46,0.36,0.771601033
1600,1.6,46,0.38,0.782269124
1600,1.6,46,0.4,0.797464147
1600,1.6,46,0.42,0.814956571
1600,1.6,46,0.44,0.832415668
1600,1.6,46,0.46,0.847877999
1600,1.6,46,0.48,0.860010115
1600,1.6,46,0.5,0.868380585
1600,1.6,48,0.3,0.725158343
1600,1.6,48,0.32,0.717712792
1600,1.6,48,0.34,0.717034136
1600,1.6,48,0.36,0.723181423
1600,1.6,48,0.38,0.73535093
1600,1.6,48,0.4,0.751787983
1600,1.6,48,0.42,0.770205524
1600,1.6,48,0.44,0.788218796
1600,1.6,48,0.46,0.8038298
1600,1.6,48,0.48,0.815746815
1600,1.6,48,0.5,0.823674879
1600,1.6,50,0.3,0.663171532
1600,1.6,50,0.32,0.657843416
1600,1.6,50,0.34,0.659164315
1600,1.6,50,0.36,0.667159913
1600,1.6,50,0.38,0.681030335
1600,1.6,50,0.4,0.699009125
1600,1.6,50,0.42,0.718743765
1600,1.6,50,0.44,0.737756132
1600,1.6,50,0.46,0.753952027
1600,1.6,50,0.48,0.766017644
1600,1.6,50,0.5,0.773756646
1600,1.7,30,0.3,0.681537493
1600,1.7,30,0.32,0.666543536
1600,1.7,30,0.34,0.661366232
1600,1.7,30,0.36,0.666154124
1600,1.7,30,0.38,0.680120454
1600,1.7,30,0.4,0.701579014
1600,1.7,30,0.42,0.727914218
1600,1.7,30,0.44,0.756107941
1600,1.7,30,0.46,0.783188496
1600,1.7,30,0.48,0.806837582
1600,1.7,30,0.5,0.825871965
1600,1.7,32,0.3,0.744104282
1600,1.7,32,0.32,0.728246365
1600,1.7,32,0.34,0.722414883
1600,1.7,32,0.36,0.72665646
1600,1.7,32,0.38,0.740002006
1600,1.7,32,0.4,0.760596854
1600,1.7,32,0.42,0.785750065
1600,1.7,32,0.44,0.812485357
1600,1.7,32,0.46,0.838016801
1600,1.7,32,0.48,0.860241639
1600,1.7,32,0.5,0.878104642
1600,1.7,34,0.3,0.790819825
1600,1.7,34,0.32,0.77439828
1600,1.7,34,0.34,0.768071003
1600,1.7,34,0.36,0.771813855
1600,1.7,34,0.38,0.784538373
1600,1.7,34,0.4,0.804293842
1600,1.7,34,0.42,0.82837112
1600,1.7,34,0.44,0.853851248
1600,1.7,34,0.46,0.878103642
1600,1.7,34,0.48,0.899186422
1600,1.7,34,0.5,0.916134124
1600,1.7,36,0.3,0.820964346
1600,1.7,36,0.32,0.804363596
1600,1.7,36,0.34,0.797811753
1600,1.7,36,0.36,0.80123609
1600,1.7,36,0.38,0.813470759
1600,1.7,36,0.4,0.832510891
1600,1.7,36,0.42,0.855655659
1600,1.7,36,0.44,0.880046788
1600,1.7,36,0.46,0.903188698
1600,1.7,36,0.48,0.923276757
1600,1.7,36,0.5,0.939432835
1600,1.7,38,0.3,0.834657285
1600,1.7,38,0.32,0.818306639
1600,1.7,38,0.34,0.811866211
1600,1.7,38,0.36,0.815227547
1600,1.7,38,0.38,0.827173584
1600,1.7,38,0.4,0.845667811
1600,1.7,38,0.42,0.868027263
1600,1.7,38,0.44,0.891453882
1600,1.7,38,0.46,0.913575507
1600,1.7,38,0.48,0.932720372
1600,1.7,38,0.5,0.948115897
1600,1.7,40,0.3,0.832584359
1600,1.7,40,0.32,0.816928814
1600,1.7,40,0.34,0.810970032
1600,1.7,40,0.36,0.814569699
1600,1.7,40,0.38,0.826475136
1600,1.7,40,0.4,0.844628413
1600,1.7,40,0.42,0.866363168
1600,1.7,40,0.44,0.888937473
1600,1.7,40,0.46,0.910094213
1600,1.7,40,0.48,0.928298568
1600,1.7,40,0.5,0.942911185
1600,1.7,42,0.3,0.815830628
1600,1.7,42,0.32,0.801306435
1600,1.7,42,0.34,0.796211657
1600,1.7,42,0.36,0.800380081
1600,1.7,42,0.38,0.812532852
1600,1.7,42,0.4,0.830592965
1600,1.7,42,0.42,0.851901163
1600,1.7,42,0.44,0.87376121
1600,1.7,42,0.46,0.894019576
1600,1.7,42,0.48,0.911282067
1600,1.7,42,0.5,0.925071255
1600,1.7,44,0.3,0.785798254
1600,1.7,44,0.32,0.772804451
1600,1.7,44,0.34,0.768942501
1600,1.7,44,0.36,0.77401972
1600,1.7,44,0.38,0.786738355
1600,1.7,44,0.4,0.805000246
1600,1.7,44,0.42,0.826137035
1600,1.7,44,0.44,0.847478403
1600,1.7,44,0.46,0.866954104
1600,1.7,44,0.48,0.883306781
1600,1.7,44,0.5,0.896244044
1600,1.7,46,0.3,0.744179102
1600,1.7,46,0.32,0.73304065
1600,1.7,46,0.34,0.730730729
1600,1.7,46,0.36,0.737034582
1600,1.7,46,0.38,0.750644818
1600,1.7,46,0.4,0.76943957
1600,1.7,46,0.42,0.790720628
1600,1.7,46,0.44,0.8118128
1600,1.7,46,0.46,0.830695312
1600,1.7,46,0.48,0.846230743
1600,1.7,46,0.5,0.858323915
1600,1.7,48,0.3,0.692951498
1600,1.7,48,0.32,0.683877171
1600,1.7,48,0.34,0.683343314
1600,1.7,48,0.36,0.69112375
1600,1.7,48,0.38,0.705917197
1600,1.7,48,0.4,0.725580328
1600,1.7,48,0.42,0.747363903
1600,1.7,48,0.44,0.768546766
1600,1.7,48,0.46,0.78710734
1600,1.7,48,0.48,0.801993552
1600,1.7,48,0.5,0.813304089
1600,1.7,50,0.3,0.63436952
1600,1.7,50,0.32,0.627414841
1600,1.7,50,0.34,0.628739859
1600,1.7,50,0.36,0.638126128
1600,1.7,50,0.38,0.65430496
1600,1.7,50,0.4,0.675125324
1600,1.7,50,0.42,0.697772203
1600,1.7,50,0.44,0.719431327
1600,1.7,50,0.46,0.738013166
1600,1.7,50,0.48,0.75249528
1600,1.7,50,0.5,0.763147237
1600,1.8,30,0.3,0.639047797
1600,1.8,30,0.32,0.623596339
1600,1.8,30,0.34,0.619887359
1600,1.8,30,0.36,0.627679
1600,1.8,30,0.38,0.645728515
1600,1.8,30,0.4,0.671775398
1600,1.8,30,0.42,0.702717608
1600,1.8,30,0.44,0.734986558
1600,1.8,30,0.46,0.765448495
1600,1.8,30,0.48,0.792079603
1600,1.8,30,0.5,0.814067507
1600,1.8,32,0.3,0.696872847
1600,1.8,32,0.32,0.680685838
1600,1.8,32,0.34,0.676547963
1600,1.8,32,0.36,0.684059057
1600,1.8,32,0.38,0.701740421
1600,1.8,32,0.4,0.727146335
1600,1.8,32,0.42,0.757104226
1600,1.8,32,0.44,0.788156582
1600,1.8,32,0.46,0.817392919
1600,1.8,32,0.48,0.843007502
1600,1.8,32,0.5,0.864284939
1600,1.8,34,0.3,0.740173538
1600,1.8,34,0.32,0.723502405
1600,1.8,34,0.34,0.71901178
1600,1.8,34,0.36,0.726190436
1600,1.8,34,0.38,0.743403301
1600,1.8,34,0.4,0.768105146
1600,1.8,34,0.42,0.797108018
1600,1.8,34,0.44,0.827067644
1600,1.8,34,0.46,0.855254817
1600,1.8,34,0.48,0.880024129
1600,1.8,34,0.5,0.900732792
1600,1.8,36,0.3,0.768203897
1600,1.8,36,0.32,0.751370316
1600,1.8,36,0.34,0.746706047
1600,1.8,36,0.36,0.753625388
1600,1.8,36,0.38,0.770392389
1600,1.8,36,0.4,0.794413293
1600,1.8,36,0.42,0.822510839
1600,1.8,36,0.44,0.851448706
1600,1.8,36,0.46,0.878656246
1600,1.8,36,0.48,0.902627884
1600,1.8,36,0.5,0.922801034
1600,1.8,38,0.3,0.78100826
1600,1.8,38,0.32,0.764375802
1600,1.8,38,0.34,0.759781536
1600,1.8,38,0.36,0.766590908
1600,1.8,38,0.38,0.78300448
1600,1.8,38,0.4,0.806408797
1600,1.8,38,0.42,0.833648226
1600,1.8,38,0.44,0.861588416
1600,1.8,38,0.46,0.887808095
1600,1.8,38,0.48,0.91094397
1600,1.8,38,0.5,0.930538954
1600,1.8,40,0.3,0.779182939
1600,1.8,40,0.32,0.763136563
1600,1.8,40,0.34,0.758897083
1600,1.8,40,0.36,0.765798418
1600,1.8,40,0.38,0.782002806
1600,1.8,40,0.4,0.804891562
1600,1.8,40,0.42,0.831331921
1600,1.8,40,0.44,0.858283987
1600,1.8,40,0.46,0.883472103
1600,1.8,40,0.48,0.905688682
1600,1.8,40,0.5,0.924615447
1600,1.8,42,0.3,0.763722546
1600,1.8,42,0.32,0.748650941
1600,1.8,42,0.34,0.745075482
1600,1.8,42,0.36,0.752311006
1600,1.8,42,0.38,0.768499153
1600,1.8,42,0.4,0.791020916
1600,1.8,42,0.42,0.816759416
1600,1.8,42,0.44,0.842756689
1600,1.8,42,0.46,0.866876632
1600,1.8,42,0.48,0.888082103
1600,1.8,42,0.5,0.906228154
1600,1.8,44,0.3,0.735935051
1600,1.8,44,0.32,0.722207888
1600,1.8,44,0.34,0.719609551
1600,1.8,44,0.36,0.727446807
1600,1.8,44,0.38,0.743855165
1600,1.8,44,0.4,0.766214263
1600,1.8,44,0.42,0.791408375
1600,1.8,44,0.44,0.816540176
1600,1.8,44,0.46,0.839598298
1600,1.8,44,0.48,0.859724385
1600,1.8,44,0.5,0.876977425
1600,1.8,46,0.3,0.697402904
1600,1.8,46,0.32,0.685338855
1600,1.8,46,0.34,0.68400371
1600,1.8,46,0.36,0.692709046
1600,1.8,46,0.38,0.709599636
1600,1.8,46,0.4,0.732050624
1600,1.8,46,0.42,0.756926264
1600,1.8,46,0.44,0.781357078
1600,1.8,46,0.46,0.80342786
1600,1.8,46,0.48,0.822454852
1600,1.8,46,0.5,0.838723439
1600,1.8,48,0.3,0.649966713
1600,1.8,48,0.32,0.639794537
1600,1.8,48,0.34,0.639940718
1600,1.8,48,0.36,0.649739277
1600,1.8,48,0.38,0.667364984
1600,1.8,48,0.4,0.690188294
1600,1.8,48,0.42,0.715029205
1600,1.8,48,0.44,0.73900105
1600,1.8,48,0.46,0.760239099
1600,1.8,48,0.48,0.778212575
1600,1.8,48,0.5,0.793443827
1600,1.8,50,0.3,0.595706513
1600,1.8,50,0.32,0.58752787
1600,1.8,50,0.34,0.58926191
1600,1.8,50,0.36,0.600289293
1600,1.8,50,0.38,0.618845067
1600,1.8,50,0.4,0.642304293
1600,1.8,50,0.42,0.667421625
1600,1.8,50,0.44,0.691238276
1600,1.8,50,0.46,0.711875776
1600,1.8,50,0.48,0.728913535
1600,1.8,50,0.5,0.743105986
1600,1.9,30,0.3,0.586351421
1600,1.9,30,0.32,0.572078971
1600,1.9,30,0.34,0.571384818
1600,1.9,30,0.36,0.583515691
1600,1.9,30,0.38,0.606693563
1600,1.9,30,0.4,0.638129778
1600,1.9,30,0.42,0.674005831
1600,1.9,30,0.44,0.710403529
1600,1.9,30,0.46,0.744284873
1600,1.9,30,0.48,0.774075749
1600,1.9,30,0.5,0.799715244
1600,1.9,32,0.3,0.639048581
1600,1.9,32,0.32,0.624234137
1600,1.9,32,0.34,0.623388198
1600,1.9,32,0.36,0.635524221
1600,1.9,32,0.38,0.658588562
1600,1.9,32,0.4,0.689588127
1600,1.9,32,0.42,0.724679135
1600,1.9,32,0.44,0.760118261
1600,1.9,32,0.46,0.793141863
1600,1.9,32,0.48,0.822364781
1600,1.9,32,0.5,0.847753942
1600,1.9,34,0.3,0.678596963
1600,1.9,34,0.32,0.663400233
1600,1.9,34,0.34,0.662359256
1600,1.9,34,0.36,0.674318892
1600,1.9,34,0.38,0.697049187
1600,1.9,34,0.4,0.727446448
1600,1.9,34,0.42,0.761695656
1600,1.9,34,0.44,0.796214536
1600,1.9,34,0.46,0.828456594
1600,1.9,34,0.48,0.857177839
1600,1.9,34,0.5,0.882357431
1600,1.9,36,0.3,0.704259709
1600,1.9,36,0.32,0.688903034
1600,1.9,36,0.34,0.68772236
1600,1.9,36,0.36,0.699446931
1600,1.9,36,0.38,0.721739971
1600,1.9,36,0.4,0.751443617
1600,1.9,36,0.42,0.784797491
1600,1.9,36,0.44,0.8183679
1600,1.9,36,0.46,0.849797154
1600,1.9,36,0.48,0.877972686
1600,1.9,36,0.5,0.902901162
1600,1.9,38,0.3,0.71603647
1600,1.9,38,0.32,0.70078599
1600,1.9,38,0.34,0.699589118
1600,1.9,38,0.36,0.711100394
1600,1.9,38,0.38,0.732923371
1600,1.9,38,0.4,0.761879682
1600,1.9,38,0.42,0.794275148
1600,1.9,38,0.44,0.826816753
1600,1.9,38,0.46,0.857326654
1600,1.9,38,0.48,0.884836475
1600,1.9,38,0.5,0.909413411
1600,1.9,40,0.3,0.714456084
1600,1.9,40,0.32,0.699608319
1600,1.9,40,0.34,0.698569145
1600,1.9,40,0.36,0.70995006
1600,1.9,40,0.38,0.731326737
1600,1.9,40,0.4,0.759519591
1600,1.9,40,0.42,0.790902716
1600,1.9,40,0.44,0.822317161
1600,1.9,40,0.46,0.851765085
1600,1.9,40,0.48,0.878445851
1600,1.9,40,0.5,0.90252876
1600,1.9,42,0.3,0.700435205
1600,1.9,42,0.32,0.686304985
1600,1.9,42,0.34,0.685635612
1600,1.9,42,0.36,0.697021475
1600,1.9,42,0.38,0.718032431
1600,1.9,42,0.4,0.745497198
1600,1.9,42,0.42,0.77585155
1600,1.9,42,0.44,0.806060211
1600,1.9,42,0.46,0.834305473
1600,1.9,42,0.48,0.859979874
1600,1.9,42,0.5,0.88339817
1600,1.9,44,0.3,0.675191363
1600,1.9,44,0.32,0.662094353
1600,1.9,44,0.34,0.662029193
1600,1.9,44,0.36,0.673596811
1600,1.9,44,0.38,0.694378309
1600,1.9,44,0.4,0.721213612
1600,1.9,44,0.42,0.750584713
1600,1.9,44,0.44,0.779560983
1600,1.9,44,0.46,0.806497579
1600,1.9,44,0.48,0.831000622
1600,1.9,44,0.5,0.853570278
1600,1.9,46,0.3,0.640193936
1600,1.9,46,0.32,0.628419949
1600,1.9,46,0.34,0.629190273
1600,1.9,46,0.36,0.641136858
1600,1.9,46,0.38,0.661868547
1600,1.9,46,0.4,0.688236112
1600,1.9,46,0.42,0.716743915
1600,1.9,46,0.44,0.744534721
1600,1.9,46,0.46,0.770116311
1600,1.9,46,0.48,0.793318224
1600,1.9,46,0.5,0.814858659
1600,1.9,48,0.3,0.597135817
1600,1.9,48,0.32,0.586914397
1600,1.9,48,0.34,0.588713043
1600,1.9,48,0.36,0.60122256
1600,1.9,48,0.38,0.622100015
1600,1.9,48,0.4,0.648207887
1600,1.9,48,0.42,0.676043051
1600,1.9,48,0.44,0.702776516
1600,1.9,48,0.46,0.72703164
1600,1.9,48,0.48,0.748856122
1600,1.9,48,0.5,0.769208474
1600,1.9,50,0.3,0.547907025
1600,1.9,50,0.32,0.539372167
1600,1.9,50,0.34,0.542313942
1600,1.9,50,0.36,0.555514599
1600,1.9,50,0.38,0.576708269
1600,1.9,50,0.4,0.602777193
1600,1.9,50,0.42,0.630179985
1600,1.9,50,0.44,0.656057833
1600,1.9,50,0.46,0.679093744
1600,1.9,50,0.48,0.699529609
1600,1.9,50,0.5,0.71857381
1600,2,30,0.3,0.52589026
1600,2,30,0.32,0.514855126
1600,2,30,0.34,0.518887134
1600,2,30,0.36,0.536750714
1600,2,30,0.38,0.566063284
1600,2,30,0.4,0.603376821
1600,2,30,0.42,0.644276708
1600,2,30,0.44,0.6846385
1600,2,30,0.46,0.721998169
1600,2,30,0.48,0.755545507
1600,2,30,0.5,0.785691464
1600,2,32,0.3,0.573195741
1600,2,32,0.32,0.561901523
1600,2,32,0.34,0.566114451
1600,2,32,0.36,0.584303389
1600,2,32,0.38,0.61375768
1600,2,32,0.4,0.65084466
1600,2,32,0.42,0.691190425
1600,2,32,0.44,0.730923004
1600,2,32,0.46,0.767859122
1600,2,32,0.48,0.801330555
1600,2,32,0.5,0.831711626
1600,2,34,0.3,0.608723223
1600,2,34,0.32,0.597194788
1600,2,34,0.34,0.601390825
1600,2,34,0.36,0.619569187
1600,2,34,0.38,0.648810358
1600,2,34,0.4,0.685399958
1600,2,34,0.42,0.72504662
1600,2,34,0.44,0.764099529
1600,2,34,0.46,0.800592835
1600,2,34,0.48,0.833960753
1600,2,34,0.5,0.864540339
1600,2,36,0.3,0.631773724
1600,2,36,0.32,0.620096221
1600,2,36,0.34,0.624177044
1600,2,36,0.36,0.642131921
1600,2,36,0.38,0.670916813
1600,2,36,0.4,0.706797295
1600,2,36,0.42,0.745583779
1600,2,36,0.44,0.783826963
1600,2,36,0.46,0.819751549
1600,2,36,0.48,0.852892543
1600,2,36,0.5,0.883573979
1600,2,38,0.3,0.642329462
1600,2,38,0.32,0.63063744
1600,2,38,0.34,0.634579685
1600,2,38,0.36,0.652183548
1600,2,38,0.38,0.680339385
1600,2,38,0.4,0.715329691
1600,2,38,0.42,0.753075806
1600,2,38,0.44,0.790321117
1600,2,38,0.46,0.825477374
1600,2,38,0.48,0.858201121
1600,2,38,0.5,0.888841732
1600,2,40,0.3,0.640874088
1600,2,40,0.32,0.629343625
1600,2,40,0.34,0.633185283
1600,2,40,0.36,0.650380299
1600,2,40,0.38,0.677794959
1600,2,40,0.4,0.711749786
1600,2,40,0.42,0.748279299
1600,2,40,0.44,0.784315657
1600,2,40,0.46,0.818465675
1600,2,40,0.48,0.850539083
1600,2,40,0.5,0.880955956
1600,2,42,0.3,0.628262658
1600,2,42,0.32,0.617103768
1600,2,42,0.34,0.620935568
1600,2,42,0.36,0.637728129
1600,2,42,0.38,0.664353903
1600,2,42,0.4,0.697181214
1600,2,42,0.42,0.732352505
1600,2,42,0.44,0.76698283
1600,2,42,0.46,0.79988383
1600,2,42,0.48,0.831052292
1600,2,42,0.5,0.861026195
1600,2,44,0.3,0.605633424
1600,2,44,0.32,0.595077312
1600,2,44,0.34,0.599031055
1600,2,44,0.36,0.61548508
1600,2,44,0.38,0.641341753
1600,2,44,0.4,0.673018499
1600,2,44,0.42,0.706751557
1600,2,44,0.44,0.73982499
1600,2,44,0.46,0.771259115
1600,2,44,0.48,0.801267217
1600,2,44,0.5,0.830550049
1600,2,46,0.3,0.574349964
1600,2,46,0.32,0.564627801
1600,2,46,0.34,0.568856355
1600,2,46,0.36,0.585077849
1600,2,46,0.38,0.610246163
1600,2,46,0.4,0.640823634
1600,2,46,0.42,0.673116753
1600,2,46,0.44,0.704552243
1600,2,46,0.46,0.734351432
1600,2,46,0.48,0.762963935
1600,2,46,0.5,0.791292241
1600,2,48,0.3,0.535961726
1600,2,48,0.32,0.527275763
1600,2,48,0.34,0.531923972
1600,2,48,0.36,0.548034278
1600,2,48,0.38,0.572635841
1600,2,48,0.4,0.602230369
1600,2,48,0.42,0.633162936
1600,2,48,0.44,0.662961638
1600,2,48,0.46,0.691025823
1600,2,48,0.48,0.718047766
1600,2,48,0.5,0.745161675
1600,2,50,0.3,0.49216973
1600,2,50,0.32,0.484661933
1600,2,50,0.34,0.489832499
1600,2,50,0.36,0.505932665
1600,2,50,0.38,0.530097037
1600,2,50,0.4,0.558865478
1600,2,50,0.42,0.588585583
1600,2,50,0.44,0.616830562
1600,2,50,0.46,0.643137221
1600,2,50,0.48,0.668430581
1600,2,50,0.5,0.694095099
1600,2.1,30,0.3,0.461364735
1600,2.1,30,0.32,0.455624453
1600,2.1,30,0.34,0.465916715
1600,2.1,30,0.36,0.490559116
1600,2.1,30,0.38,0.526651448
1600,2.1,30,0.4,0.569836036
1600,2.1,30,0.42,0.615372738
1600,2.1,30,0.44,0.659475959
1600,2.1,30,0.46,0.700511183
1600,2.1,30,0.48,0.738436826
1600,2.1,30,0.5,0.774104199
1600,2.1,32,0.3,0.503192158
1600,2.1,32,0.32,0.497569752
1600,2.1,32,0.34,0.508439734
1600,2.1,32,0.36,0.533755197
1600,2.1,32,0.38,0.570264487
1600,2.1,32,0.4,0.613471291
1600,2.1,32,0.42,0.658759154
1600,2.1,32,0.44,0.702656615
1600,2.1,32,0.46,0.743792274
1600,2.1,32,0.48,0.78220681
1600,2.1,32,0.5,0.818628944
1600,2.1,34,0.3,0.534548574
1600,2.1,34,0.32,0.528897829
1600,2.1,34,0.34,0.539966999
1600,2.1,34,0.36,0.565451181
1600,2.1,34,0.38,0.601885552
1600,2.1,34,0.4,0.644742854
1600,2.1,34,0.42,0.689553408
1600,2.1,34,0.44,0.733111446
1600,2.1,34,0.46,0.774243507
1600,2.1,34,0.48,0.81304425
1600,2.1,34,0.5,0.850127685
1600,2.1,36,0.3,0.554795144
1600,2.1,36,0.32,0.549031861
1600,2.1,36,0.34,0.560024386
1600,2.1,36,0.36,0.58529646
1600,2.1,36,0.38,0.621266567
1600,2.1,36,0.4,0.66344097
1600,2.1,36,0.42,0.707507491
1600,2.1,36,0.44,0.750499928
1600,2.1,36,0.46,0.791418466
1600,2.1,36,0.48,0.830418702
1600,2.1,36,0.5,0.868029246
1600,2.1,38,0.3,0.563919592
1600,2.1,38,0.32,0.558017037
1600,2.1,38,0.34,0.568739899
1600,2.1,38,0.36,0.593508518
1600,2.1,38,0.38,0.628691871
1600,2.1,38,0.4,0.669869127
1600,2.1,38,0.42,0.712893182
1600,2.1,38,0.44,0.755028047
1600,2.1,38,0.46,0.79544914
1600,2.1,38,0.48,0.834400775
1600,2.1,38,0.5,0.872367948
1600,2.1,40,0.3,0.562380475
1600,2.1,40,0.32,0.556365792
1600,2.1,40,0.34,0.566698732
1600,2.1,40,0.36,0.590749821
1600,2.1,40,0.38,0.624885829
1600,2.1,40,0.4,0.664782086
1600,2.1,40,0.42,0.706461138
1600,2.1,40,0.44,0.74741619
1600,2.1,40,0.46,0.787012843
1600,2.1,40,0.48,0.825622168
1600,2.1,40,0.5,0.863734375
1600,2.1,42,0.3,0.550987655
1600,2.1,42,0.32,0.544937878
1600,2.1,42,0.34,0.554828133
1600,2.1,42,0.36,0.578023041
1600,2.1,42,0.38,0.610921118
1600,2.1,42,0.4,0.649305146
1600,2.1,42,0.42,0.689365806
1600,2.1,42,0.44,0.728824578
1600,2.1,42,0.46,0.767255551
1600,2.1,42,0.48,0.805196738
1600,2.1,42,0.5,0.843195642
1600,2.1,44,0.3,0.530813839
1600,2.1,44,0.32,0.524847333
1600,2.1,44,0.34,0.534302109
1600,2.1,44,0.36,0.556575339
1600,2.1,44,0.38,0.588122836
1600,2.1,44,0.4,0.624836532
1600,2.1,44,0.42,0.663064379
1600,2.1,44,0.44,0.700748553
1600,2.1,44,0.46,0.737685496
1600,2.1,44,0.48,0.774616081
1600,2.1,44,0.5,0.812196959
1600,2.1,46,0.3,0.503129652
1600,2.1,46,0.32,0.497390182
1600,2.1,46,0.34,0.506462031
1600,2.1,46,0.36,0.527811488
1600,2.1,46,0.38,0.557973187
1600,2.1,46,0.4,0.592942719
1600,2.1,46,0.42,0.629203296
1600,2.1,46,0.44,0.664898651
1600,2.1,46,0.46,0.700051251
1600,2.1,46,0.48,0.735631446
1600,2.1,46,0.5,0.772452954
1600,2.1,48,0.3,0.469354581
1600,2.1,48,0.32,0.46398834
1600,2.1,48,0.34,0.472752374
1600,2.1,48,0.36,0.493219414
1600,2.1,48,0.38,0.52202479
1600,2.1,48,0.4,0.55525854
1600,2.1,48,0.42,0.589506335
1600,2.1,48,0.44,0.623079973
1600,2.1,48,0.46,0.656217491
1600,2.1,48,0.48,0.690132378
1600,2.1,48,0.5,0.725835454
1600,2.1,50,0.3,0.431015042
1600,2.1,50,0.32,0.426144415
1600,2.1,50,0.34,0.43467017
1600,2.1,50,0.36,0.454311007
1600,2.1,50,0.38,0.481829448
1600,2.1,50,0.4,0.513401991
1600,2.1,50,0.42,0.545676072
1600,2.1,50,0.44,0.57708306
1600,2.1,50,0.46,0.608049765
1600,2.1,50,0.48,0.640031277
1600,2.1,50,0.5,0.674264002
1600,2.2,30,0.3,0.397192431
1600,2.2,30,0.32,0.398373626
1600,2.2,30,0.34,0.416002944
1600,2.2,30,0.36,0.448046031
1600,2.2,30,0.38,0.490815801
1600,2.2,30,0.4,0.539383901
1600,2.2,30,0.42,0.588963372
1600,2.2,30,0.44,0.636611691
1600,2.2,30,0.46,0.68171473
1600,2.2,30,0.48,0.725044669
1600,2.2,30,0.5,0.767164273
1600,2.2,32,0.3,0.433674967
1600,2.2,32,0.32,0.435448289
1600,2.2,32,0.34,0.454116234
1600,2.2,32,0.36,0.487221185
1600,2.2,32,0.38,0.530727002
1600,2.2,32,0.4,0.579634412
1600,2.2,32,0.42,0.629383393
1600,2.2,32,0.44,0.677374402
1600,2.2,32,0.46,0.723213569
1600,2.2,32,0.48,0.767661363
1600,2.2,32,0.5,0.811069077
1600,2.2,34,0.3,0.460877197
1600,2.2,34,0.32,0.462899748
1600,2.2,34,0.34,0.482030375
1600,2.2,34,0.36,0.515518959
1600,2.2,34,0.38,0.559139906
1600,2.2,34,0.4,0.607923914
1600,2.2,34,0.42,0.657540946
1600,2.2,34,0.44,0.705668488
1600,2.2,34,0.46,0.752071603
1600,2.2,34,0.48,0.797474872
1600,2.2,34,0.5,0.842037859
1600,2.2,36,0.3,0.478235912
1600,2.2,36,0.32,0.480231086
1600,2.2,36,0.34,0.49935542
1600,2.2,36,0.36,0.532670974
1600,2.2,36,0.38,0.575872603
1600,2.2,36,0.4,0.624082735
1600,2.2,36,0.42,0.673202421
1600,2.2,36,0.44,0.721153685
1600,2.2,36,0.46,0.767841845
1600,2.2,36,0.48,0.813964415
1600,2.2,36,0.5,0.859527911
1600,2.2,38,0.3,0.485762072
1600,2.2,38,0.32,0.487519868
1600,2.2,38,0.34,0.506259382
