lambda,n,angle,h,TM
1300,1.2,60,2200,0.00512571
1300,1.2,60,2400,0.006230144
1300,1.2,60,2600,0.007464575
1300,1.2,60,2800,0.008784247
1300,1.2,60,3000,0.010166287
1300,1.2,60,3200,0.011605922
1300,1.2,60,3400,0.01308104
1300,1.2,60,3600,0.014545018
1300,1.2,60,3800,0.015954424
1300,1.2,60,4000,0.017289913
1300,1.2,62,2000,0.003975855
1300,1.2,62,2200,0.004969835
1300,1.2,62,2400,0.006079928
1300,1.2,62,2600,0.007306827
1300,1.2,62,2800,0.008600926
1300,1.2,62,3000,0.009925648
1300,1.2,62,3200,0.01126404
1300,1.2,62,3400,0.012579523
1300,1.2,62,3600,0.013817359
1300,1.2,62,3800,0.014927427
1300,1.2,62,4000,0.015880549
1300,1.2,64,2000,0.003853105
1300,1.2,64,2200,0.00486112
1300,1.2,64,2400,0.005980744
1300,1.2,64,2600,0.007195547
1300,1.2,64,2800,0.008449636
1300,1.2,64,3000,0.009691719
1300,1.2,64,3200,0.010891799
1300,1.2,64,3400,0.011999387
1300,1.2,64,3600,0.012956384
1300,1.2,64,3800,0.013712728
1300,1.2,64,4000,0.014236801
1300,1.2,66,2000,0.00377336
1300,1.2,66,2200,0.00480138
1300,1.2,66,2400,0.00593041
1300,1.2,66,2600,0.007123935
1300,1.2,66,2800,0.008318603
1300,1.2,66,3000,0.009449171
1300,1.2,66,3200,0.010473925
1300,1.2,66,3400,0.011331726
1300,1.2,66,3600,0.011967704
1300,1.2,66,3800,0.012341109
1300,1.2,66,4000,0.01242805
1300,1.2,68,2000,0.003736597
1300,1.2,68,2200,0.004787422
1300,1.2,68,2400,0.005921548
1300,1.2,68,2600,0.007080632
1300,1.2,68,2800,0.008193264
1300,1.2,68,3000,0.009183016
1300,1.2,68,3200,0.010000085
1300,1.2,68,3400,0.010578631
1300,1.2,68,3600,0.010874373
1300,1.2,68,3800,0.010865633
1300,1.2,68,4000,0.010546831
1300,1.2,70,2000,0.003738772
1300,1.2,70,2200,0.004811713
1300,1.2,70,2400,0.005942937
1300,1.2,70,2600,0.007051917
1300,1.2,70,2800,0.008059299
1300,1.2,70,3000,0.008882052
1300,1.2,70,3200,0.009467834
1300,1.2,70,3400,0.009754056
1300,1.2,70,3600,0.009714345
1300,1.2,70,3800,0.009353791
1300,1.2,70,4000,0.008693794
1300,1.3,50,2000,0.026026353
1300,1.3,50,2200,0.031422256
1300,1.3,50,2400,0.037369257
1300,1.3,50,2600,0.043739103
1300,1.3,50,2800,0.050527629
1300,1.3,50,3000,0.057850704
1300,1.3,50,3200,0.065700606
1300,1.3,50,3400,0.07389192
1300,1.3,50,3600,0.082520532
1300,1.3,50,3800,0.091668797
1300,1.3,50,4000,0.101235134
1300,1.3,52,2000,0.025570061
1300,1.3,52,2200,0.030861481
1300,1.3,52,2400,0.036712574
1300,1.3,52,2600,0.042991825
1300,1.3,52,2800,0.049671527
1300,1.3,52,3000,0.056863275
1300,1.3,52,3200,0.064571487
1300,1.3,52,3400,0.07261973
1300,1.3,52,3600,0.081071171
1300,1.3,52,3800,0.089991857
1300,1.3,52,4000,0.099313503
1300,1.3,54,2000,0.024984516
1300,1.3,54,2200,0.03015324
1300,1.3,54,2400,0.035886256
1300,1.3,54,2600,0.042046524
1300,1.3,54,2800,0.048582868
1300,1.3,54,3000,0.055598454
1300,1.3,54,3200,0.063101234
1300,1.3,54,3400,0.070915571
1300,1.3,54,3600,0.079069538
1300,1.3,54,3800,0.087609002
1300,1.3,54,4000,0.096477493
1300,1.3,56,2000,0.024313395
1300,1.3,56,2200,0.029353541
1300,1.3,56,2400,0.034956395
1300,1.3,56,2600,0.040977242
1300,1.3,56,2800,0.047340532
1300,1.3,56,3000,0.054134767
1300,1.3,56,3200,0.061361616
1300,1.3,56,3400,0.068832947
1300,1.3,56,3600,0.076538313
1300,1.3,56,3800,0.084502779
1300,1.3,56,4000,0.092658162
1300,1.3,58,2000,0.023598059
1300,1.3,58,2200,0.028513825
1300,1.3,58,2400,0.033983012
1300,1.3,58,2600,0.039850026
1300,1.3,58,2800,0.046012018
1300,1.3,58,3000,0.052536092
1300,1.3,58,3200,0.059409218
1300,1.3,58,3400,0.066415552
1300,1.3,58,3600,0.073500696
1300,1.3,58,3800,0.080671334
1300,1.3,58,4000,0.087834808
1300,1.3,60,2000,0.02287529
1300,1.3,60,2200,0.027677942
1300,1.3,60,2400,0.033015952
1300,1.3,60,2600,0.038718263
1300,1.3,60,2800,0.044649439
1300,1.3,60,3000,0.050848893
1300,1.3,60,3200,0.057284049
1300,1.3,60,3400,0.063699185
1300,1.3,60,3600,0.06998967
1300,1.3,60,3800,0.076147014
1300,1.3,60,4000,0.082059206
1300,1.3,62,2000,0.022175613
1300,1.3,62,2200,0.026880183
1300,1.3,62,2400,0.032092386
1300,1.3,62,2600,0.037620212
1300,1.3,62,2800,0.043288456
1300,1.3,62,3000,0.049103302
1300,1.3,62,3200,0.055012425
1300,1.3,62,3400,0.060716055
1300,1.3,62,3600,0.066055388
1300,1.3,62,3800,0.071008639
1300,1.3,62,4000,0.075465721
1300,1.3,64,2000,0.021522066
1300,1.3,64,2200,0.026144232
1300,1.3,64,2400,0.031235825
1300,1.3,64,2600,0.036578466
1300,1.3,64,2800,0.04194936
1300,1.3,64,3000,0.04731675
1300,1.3,64,3200,0.052612721
1300,1.3,64,3400,0.057500193
1300,1.3,64,3600,0.061768766
1300,1.3,64,3800,0.065383742
