lambda,n,angle,h,TE
1300,1.2,54,2200,0.263897835
1300,1.2,54,2400,0.299726765
1300,1.2,54,2600,0.334506286
1300,1.2,54,2800,0.366877233
1300,1.2,54,3000,0.395966964
1300,1.2,54,3200,0.421719762
1300,1.2,54,3400,0.44373038
1300,1.2,54,3600,0.460948134
1300,1.2,54,3800,0.47296465
1300,1.2,54,4000,0.47991426
1300,1.2,56,2000,0.21848075
1300,1.2,56,2200,0.249781505
1300,1.2,56,2400,0.279637333
1300,1.2,56,2600,0.307329215
1300,1.2,56,2800,0.331381685
1300,1.2,56,3000,0.350869187
1300,1.2,56,3200,0.365894732
1300,1.2,56,3400,0.37631669
1300,1.2,56,3600,0.381362801
1300,1.2,56,3800,0.380791434
1300,1.2,56,4000,0.374961913
1300,1.2,58,2000,0.207970867
1300,1.2,58,2200,0.234103955
1300,1.2,58,2400,0.257565458
1300,1.2,58,2600,0.27782748
1300,1.2,58,2800,0.293468587
1300,1.2,58,3000,0.303595249
1300,1.2,58,3200,0.308479816
1300,1.2,58,3400,0.308345393
1300,1.2,58,3600,0.302892555
1300,1.2,58,3800,0.29217699
1300,1.2,58,4000,0.276796986
1300,1.2,60,2000,0.196620107
1300,1.2,60,2200,0.217438074
1300,1.2,60,2400,0.234420015
1300,1.2,60,2600,0.247332467
1300,1.2,60,2800,0.25499476
1300,1.2,60,3000,0.256664533
1300,1.2,60,3200,0.252801747
1300,1.2,60,3400,0.244032343
1300,1.2,60,3600,0.230631403
1300,1.2,60,3800,0.213044559
1300,1.2,60,4000,0.192106217
1300,1.2,62,2000,0.184734478
1300,1.2,62,2200,0.200303621
1300,1.2,62,2400,0.211016524
1300,1.2,62,2600,0.217013428
1300,1.2,62,2800,0.217522359
1300,1.2,62,3000,0.212081913
1300,1.2,62,3200,0.201362557
1300,1.2,62,3400,0.186367193
1300,1.2,62,3600,0.167928004
1300,1.2,62,3800,0.146885477
1300,1.2,62,4000,0.12426155
1300,1.2,64,2000,0.172590784
1300,1.2,64,2200,0.183154626
1300,1.2,64,2400,0.188051284
1300,1.2,64,2600,0.187841176
1300,1.2,64,2800,0.182282312
1300,1.2,64,3000,0.171305625
1300,1.2,64,3200,0.155809558
1300,1.2,64,3400,0.137098625
1300,1.2,64,3600,0.116440676
1300,1.2,64,3800,0.094974569
1300,1.2,64,4000,0.07380074
1300,1.2,66,2000,0.160433277
1300,1.2,66,2200,0.166371672
1300,1.2,66,2400,0.166084982
1300,1.2,66,2600,0.160565908
1300,1.2,66,2800,0.15016276
1300,1.2,66,3000,0.135266456
1300,1.2,66,3200,0.117002541
1300,1.2,66,3400,0.09687019
1300,1.2,66,3600,0.076387585
1300,1.2,66,3800,0.056820334
1300,1.2,66,4000,0.039192555
1300,1.2,68,2000,0.148470544
1300,1.2,68,2200,0.150258586
1300,1.2,68,2400,0.145536585
1300,1.2,68,2600,0.135710512
1300,1.2,68,2800,0.12171801
1300,1.2,68,3000,0.104420536
1300,1.2,68,3200,0.085141571
1300,1.2,68,3400,0.065452411
1300,1.2,68,3600,0.046916683
1300,1.2,68,3800,0.030728637
1300,1.2,68,4000,0.017673295
1300,1.2,70,2000,0.136871202
1300,1.2,70,2200,0.135042126
1300,1.2,70,2400,0.126686706
1300,1.2,70,2600,0.113579791
1300,1.2,70,2800,0.097195924
1300,1.2,70,3000,0.07882228
1300,1.2,70,3200,0.05992074
1300,1.2,70,3400,0.042010622
1300,1.2,70,3600,0.026512638
1300,1.2,70,3800,0.014372692
1300,1.2,70,4000,0.006007443
1300,1.3,50,2000,0.459832392
1300,1.3,50,2200,0.531192248
1300,1.3,50,2400,0.600775171
1300,1.3,50,2600,0.666110426
1300,1.3,50,2800,0.725652601
1300,1.3,50,3000,0.778588376
1300,1.3,50,3200,0.82323491
1300,1.3,50,3400,0.857991822
1300,1.3,50,3600,0.882372818
1300,1.3,50,3800,0.896076778
1300,1.3,50,4000,0.898416194
1300,1.3,52,2000,0.449144683
1300,1.3,52,2200,0.515375309
1300,1.3,52,2400,0.578805154
1300,1.3,52,2600,0.636426487
1300,1.3,52,2800,0.686720577
1300,1.3,52,3000,0.729413058
1300,1.3,52,3200,0.762842737
1300,1.3,52,3400,0.785251901
1300,1.3,52,3600,0.796582732
1300,1.3,52,3800,0.797046974
1300,1.3,52,4000,0.786202753
1300,1.3,54,2000,0.435151772
1300,1.3,54,2200,0.494707693
1300,1.3,54,2400,0.55020463
1300,1.3,54,2600,0.598157908
1300,1.3,54,2800,0.637035339
1300,1.3,54,3000,0.667154066
1300,1.3,54,3200,0.687131706
1300,1.3,54,3400,0.695241815
1300,1.3,54,3600,0.691833182
1300,1.3,54,3800,0.677743246
1300,1.3,54,4000,0.653081848
1300,1.3,56,2000,0.4185065
1300,1.3,56,2200,0.470236176
1300,1.3,56,2400,0.516564867
1300,1.3,56,2600,0.553698707
1300,1.3,56,2800,0.580069475
1300,1.3,56,3000,0.596589141
1300,1.3,56,3200,0.60244849
1300,1.3,56,3400,0.596230477
1300,1.3,56,3600,0.578664588
1300,1.3,56,3800,0.551230561
1300,1.3,56,4000,0.514821674
1300,1.3,58,2000,0.399845804
1300,1.3,58,2200,0.44299195
1300,1.3,58,2400,0.47943687
1300,1.3,58,2600,0.505332622
1300,1.3,58,2800,0.519095747
1300,1.3,58,3000,0.522189937
1300,1.3,58,3200,0.514625629
1300,1.3,58,3400,0.495597803
1300,1.3,58,3600,0.466223461
1300,1.3,58,3800,0.428545367
1300,1.3,58,4000,0.384290755
1300,1.3,60,2000,0.379772769
1300,1.3,60,2200,0.413958218
1300,1.3,60,2400,0.440277738
1300,1.3,60,2600,0.455135682
1300,1.3,60,2800,0.457010806
1300,1.3,60,3000,0.447843772
1300,1.3,60,3200,0.428599844
1300,1.3,60,3400,0.399330723
1300,1.3,60,3600,0.361574945
1300,1.3,60,3800,0.317793513
1300,1.3,60,4000,0.270393842
1300,1.3,62,2000,0.358840481
1300,1.3,62,2200,0.384040354
1300,1.3,62,2400,0.400407711
1300,1.3,62,2600,0.404912489
1300,1.3,62,2800,0.396224851
1300,1.3,62,3000,0.376676519
1300,1.3,62,3200,0.348188315
1300,1.3,62,3400,0.311788057
1300,1.3,62,3600,0.269456796
1300,1.3,62,3800,0.223897087
1300,1.3,62,4000,0.177894317
1300,1.3,64,2000,0.337538057
1300,1.3,64,2200,0.354039544
1300,1.3,64,2400,0.360976154
1300,1.3,64,2600,0.356160622
1300,1.3,64,2800,0.338613628
1300,1.3,64,3000,0.310977918
1300,1.3,64,3200,0.27601157
1300,1.3,64,3400,0.23568459
1300,1.3,64,3600,0.192383075
1300,1.3,64,3800,0.148861027
1300,1.3,64,4000,0.107921173
1300,1.3,66,2000,0.316278916
1300,1.3,66,2200,0.324631196
1300,1.3,66,2400,0.322935722
1300,1.3,66,2600,0.310056309
1300,1.3,66,2800,0.285521712
1300,1.3,66,3000,0.252218967
1300,1.3,66,3200,0.213544479
1300,1.3,66,3400,0.172239361
1300,1.3,66,3600,0.130976933
1300,1.3,66,3800,0.092365998
1300,1.3,66,4000,0.058887481
1300,1.3,68,2000,0.295390616
1300,1.3,68,2200,0.296348975
1300,1.3,68,2400,0.287024993
1300,1.3,68,2600,0.26745537
1300,1.3,68,2800,0.237801828
1300,1.3,68,3000,0.20113972
1300,1.3,68,3200,0.161267594
1300,1.3,68,3400,0.121436512
1300,1.3,68,3600,0.084420856
1300,1.3,68,3800,0.052490542
1300,1.3,68,4000,0.027537859
1300,1.3,70,2000,0.275104635
1300,1.3,70,2200,0.269574208
1300,1.3,70,2400,0.253760088
1300,1.3,70,2600,0.228905442
