lambda,n,angle,h,TE
1550,2.2,50,3800,0.857786568
1550,2.2,50,4000,0.929217957
1550,2.2,52,2000,0.51634553
1550,2.2,52,2200,0.308194457
1550,2.2,52,2400,0.129185878
1550,2.2,52,2600,0.022206306
1550,2.2,52,2800,0.00932479
1550,2.2,52,3000,0.09378332
1550,2.2,52,3200,0.259005773
1550,2.2,52,3400,0.469298734
1550,2.2,52,3600,0.682476967
1550,2.2,52,3800,0.851881609
1550,2.2,52,4000,0.941042554
1550,2.2,54,2000,0.531488476
1550,2.2,54,2200,0.322759288
1550,2.2,54,2400,0.140225862
1550,2.2,54,2600,0.026481752
1550,2.2,54,2800,0.00565592
1550,2.2,54,3000,0.082571183
1550,2.2,54,3200,0.242473896
1550,2.2,54,3400,0.452069417
1550,2.2,54,3600,0.669141787
1550,2.2,54,3800,0.847081244
1550,2.2,54,4000,0.948604
1550,2.2,56,2000,0.540683589
1550,2.2,56,2200,0.33198313
1550,2.2,56,2400,0.147542118
1550,2.2,56,2600,0.029620675
1550,2.2,56,2800,0.003688713
1550,2.2,56,3000,0.075598431
1550,2.2,56,3200,0.231805949
1550,2.2,56,3400,0.440611929
1550,2.2,56,3600,0.659640843
1550,2.2,56,3800,0.842732364
1550,2.2,56,4000,0.952105846
1550,2.2,58,2000,0.544580227
1550,2.2,58,2200,0.336394038
1550,2.2,58,2400,0.151372856
1550,2.2,58,2600,0.031368764
1550,2.2,58,2800,0.002682803
1550,2.2,58,3000,0.07172425
1550,2.2,58,3200,0.225625196
1550,2.2,58,3400,0.433671339
1550,2.2,58,3600,0.653144576
1550,2.2,58,3800,0.838599532
1550,2.2,58,4000,0.951990757
1550,2.2,60,2000,0.543772086
1550,2.2,60,2200,0.336547947
1550,2.2,60,2400,0.152087231
1550,2.2,60,2600,0.031745801
1550,2.2,60,2800,0.00226606
1550,2.2,60,3000,0.070215542
1550,2.2,60,3200,0.222955035
1550,2.2,60,3400,0.430285522
1550,2.2,60,3600,0.648950054
1550,2.2,60,3800,0.83442258
1550,2.2,60,4000,0.948593803
1550,2.2,62,2000,0.538806866
1550,2.2,62,2200,0.333010249
1550,2.2,62,2400,0.1501276
1550,2.2,62,2600,0.030922206
1550,2.2,62,2800,0.002264226
1550,2.2,62,3000,0.07054737
1550,2.2,62,3200,0.223001398
1550,2.2,62,3400,0.429592406
1550,2.2,62,3600,0.646341
1550,2.2,62,3800,0.829827658
1550,2.2,62,4000,0.942084128
1550,2.2,64,2000,0.530174114
1550,2.2,64,2200,0.326329962
1550,2.2,64,2400,0.145964943
1550,2.2,64,2600,0.029145599
1550,2.2,64,2800,0.002608365
1550,2.2,64,3000,0.072302673
1550,2.2,64,3200,0.225054673
1550,2.2,64,3400,0.430756109
1550,2.2,64,3600,0.644552129
1550,2.2,64,3800,0.824324705
1550,2.2,64,4000,0.932476655
1550,2.2,66,2000,0.518284858
1550,2.2,66,2200,0.317013037
1550,2.2,66,2400,0.140063049
1550,2.2,66,2600,0.026690901
1550,2.2,66,2800,0.00327596
1550,2.2,66,3000,0.07511151
1550,2.2,66,3200,0.22843452
1550,2.2,66,3400,0.43293003
1550,2.2,66,3600,0.642759073
1550,2.2,66,3800,0.817319801
1550,2.2,66,4000,0.919652086
1550,2.2,68,2000,0.503447152
1550,2.2,68,2200,0.305496864
1550,2.2,68,2400,0.132850156
1550,2.2,68,2600,0.023825635
1550,2.2,68,2800,0.004251543
1550,2.2,68,3000,0.078610508
1550,2.2,68,3200,0.232452476
1550,2.2,68,3400,0.435229554
1550,2.2,68,3600,0.640067028
1550,2.2,68,3800,0.808117231
1550,2.2,68,4000,0.903361829
1550,2.2,70,2000,0.485838234
1550,2.2,70,2200,0.292126086
1550,2.2,70,2400,0.124697088
1550,2.2,70,2600,0.02078689
1550,2.2,70,2800,0.00550104
1550,2.2,70,3000,0.082414471
1550,2.2,70,3200,0.236381764
1550,2.2,70,3400,0.436702533
1550,2.2,70,3600,0.6354863
1550,2.2,70,3800,0.795899857
1550,2.2,70,4000,0.883206812
1550,2.3,50,2000,0.375277264
1550,2.3,50,2200,0.173245372
1550,2.3,50,2400,0.039933528
1550,2.3,50,2600,0.008465294
1550,2.3,50,2800,0.085005234
1550,2.3,50,3000,0.254845093
1550,2.3,50,3200,0.474904052
1550,2.3,50,3400,0.696377442
1550,2.3,50,3600,0.865129526
1550,2.3,50,3800,0.939049747
1550,2.3,50,4000,0.903415377
1550,2.3,52,2000,0.393783821
1550,2.3,52,2200,0.188297558
1550,2.3,52,2400,0.046523953
1550,2.3,52,2600,0.004126544
1550,2.3,52,2800,0.070328607
1550,2.3,52,3000,0.232234947
1550,2.3,52,3200,0.450864893
1550,2.3,52,3400,0.677509314
1550,2.3,52,3600,0.857441056
1550,2.3,52,3800,0.947526623
1550,2.3,52,4000,0.929053
1550,2.3,54,2000,0.406658739
1550,2.3,54,2200,0.199229514
1550,2.3,54,2400,0.051981497
1550,2.3,54,2600,0.002159972
1550,2.3,54,2800,0.061097754
1550,2.3,54,3000,0.217309536
1550,2.3,54,3200,0.43459186
1550,2.3,54,3400,0.664247334
1550,2.3,54,3600,0.851630953
1550,2.3,54,3800,0.952951199
1550,2.3,54,4000,0.946530391
1550,2.3,56,2000,0.41455833
1550,2.3,56,2200,0.206327397
1550,2.3,56,2400,0.055807883
1550,2.3,56,2600,0.001233278
1550,2.3,56,2800,0.055359583
1550,2.3,56,3000,0.207632807
1550,2.3,56,3200,0.423733997
1550,2.3,56,3400,0.654797467
1550,2.3,56,3600,0.846649038
1550,2.3,56,3800,0.955106757
1550,2.3,56,4000,0.95636917
1550,2.3,58,2000,0.418029587
1550,2.3,58,2200,0.209944765
1550,2.3,58,2400,0.057920333
1550,2.3,58,2600,7.54E-04
1550,2.3,58,2800,0.052094101
1550,2.3,58,3000,0.201866207
1550,2.3,58,3200,0.416977411
1550,2.3,58,3400,0.648180957
1550,2.3,58,3600,0.842028334
1550,2.3,58,3800,0.954160612
1550,2.3,58,4000,0.959337513
1550,2.3,60,2000,0.417575104
1550,2.3,60,2200,0.210478652
1550,2.3,60,2400,0.058428053
1550,2.3,60,2600,4.54E-04
1550,2.3,60,2800,0.050673372
1550,2.3,60,3000,0.199097941
1550,2.3,60,3200,0.413366497
1550,2.3,60,3400,0.643639563
1550,2.3,60,3600,0.837390189
1550,2.3,60,3800,0.950279332
1550,2.3,60,4000,0.956169914
1550,2.3,62,2000,0.413661372
1550,2.3,62,2200,0.208345694
1550,2.3,62,2400,0.057540179
1550,2.3,62,2600,2.32E-04
1550,2.3,62,2800,0.050664822
1550,2.3,62,3000,0.198611996
1550,2.3,62,3200,0.412084026
1550,2.3,62,3400,0.640460257
1550,2.3,62,3600,0.832314981
1550,2.3,62,3800,0.943535597
1550,2.3,62,4000,0.947496696
1550,2.3,64,2000,0.40670935
1550,2.3,64,2200,0.203958558
1550,2.3,64,2400,0.055513234
1550,2.3,64,2600,7.53E-05
1550,2.3,64,2800,0.051736681
1550,2.3,64,3000,0.199784713
1550,2.3,64,3200,0.41236068
1550,2.3,64,3400,0.637913793
1550,2.3,64,3600,0.826307742
1550,2.3,64,3800,0.93388923
1550,2.3,64,4000,0.933828839
1550,2.3,66,2000,0.39707851
1550,2.3,66,2200,0.197704171
1550,2.3,66,2400,0.052616099
1550,2.3,66,2600,8.65E-06
1550,2.3,66,2800,0.053603481
1550,2.3,66,3000,0.202027999
1550,2.3,66,3200,0.413427647
1550,2.3,66,3400,0.635225913
1550,2.3,66,3600,0.818786018
1550,2.3,66,3800,0.921182151
1550,2.3,66,4000,0.91555201
1550,2.3,68,2000,0.385047943
1550,2.3,68,2200,0.18992436
1550,2.3,68,2400,0.049105533
1550,2.3,68,2600,6.70E-05
1550,2.3,68,2800,0.055991142
1550,2.3,68,3000,0.204752181
1550,2.3,68,3200,0.41448297
1550,2.3,68,3400,0.631553127
1550,2.3,68,3600,0.80906432
1550,2.3,68,3800,0.905124839
1550,2.3,68,4000,0.892911027
1550,2.3,70,2000,0.370795288
1550,2.3,70,2200,0.180898713
1550,2.3,70,2400,0.045209323
1550,2.3,70,2600,2.74E-04
1550,2.3,70,2800,0.058613337
1550,2.3,70,3000,0.207337332
1550,2.3,70,3200,0.414659111
1550,2.3,70,3400,0.625950717
1550,2.3,70,3600,0.796323466
1550,2.3,70,3800,0.885263556
1550,2.3,70,4000,0.865975407
1550,2.4,50,2000,0.266649517
1550,2.4,50,2200,0.087672089
1550,2.4,50,2400,0.009397227
1550,2.4,50,2600,0.048431179
1550,2.4,50,2800,0.19930178
1550,2.4,50,3000,0.421048295
1550,2.4,50,3200,0.658731908
1550,2.4,50,3400,0.849706054
1550,2.4,50,3600,0.941577536
1550,2.4,50,3800,0.913915769
1550,2.4,50,4000,0.76902476
1550,2.4,52,2000,0.281782356
1550,2.4,52,2200,0.096929569
1550,2.4,52,2400,0.008461602
1550,2.4,52,2600,0.037336889
1550,2.4,52,2800,0.179354766
1550,2.4,52,3000,0.397892933
1550,2.4,52,3200,0.638873593
1550,2.4,52,3400,0.838898547
1550,2.4,52,3600,0.945215151
1550,2.4,52,3800,0.933294273
1550,2.4,52,4000,0.801686444
1550,2.4,54,2000,0.292422383
1550,2.4,54,2200,0.103990346
1550,2.4,54,2400,0.00876951
1550,2.4,54,2600,0.03059121
1550,2.4,54,2800,0.166348054
1550,2.4,54,3000,0.38238235
1550,2.4,54,3200,0.62509922
1550,2.4,54,3400,0.831066356
1550,2.4,54,3600,0.947369483
1550,2.4,54,3800,0.946391189
1550,2.4,54,4000,0.824404013
1550,2.4,56,2000,0.299095282
1550,2.4,56,2200,0.108759881
1550,2.4,56,2400,0.00927902
1550,2.4,56,2600,0.026447432
1550,2.4,56,2800,0.157899623
1550,2.4,56,3000,0.37201871
1550,2.4,56,3200,0.61534367
1550,2.4,56,3400,0.82477421
1550,2.4,56,3600,0.947420509
1550,2.4,56,3800,0.953377934
1550,2.4,56,4000,0.8379136
1550,2.4,58,2000,0.302240033
1550,2.4,58,2200,0.111356539
1550,2.4,58,2400,0.00958362
1550,2.4,58,2600,0.024044561
1550,2.4,58,2800,0.152748428
1550,2.4,58,3000,0.365442692
1550,2.4,58,3200,0.608482988
1550,2.4,58,3400,0.819316968
1550,2.4,58,3600,0.945254071
1550,2.4,58,3800,0.954739572
1550,2.4,58,4000,0.84313035
1550,2.4,60,2000,0.302262108
1550,2.4,60,2200,0.111993821
1550,2.4,60,2400,0.009543584
1550,2.4,60,2600,0.022886891
1550,2.4,60,2800,0.150072942
1550,2.4,60,3000,0.361709494
1550,2.4,60,3200,0.603692607
1550,2.4,60,3400,0.814171101
1550,2.4,60,3600,0.940835834
1550,2.4,60,3800,0.950977026
1550,2.4,60,4000,0.840979666
1550,2.4,62,2000,0.299540552
1550,2.4,62,2200,0.110930385
1550,2.4,62,2400,0.009151805
1550,2.4,62,2600,0.02265832
1550,2.4,62,2800,0.149255751
1550,2.4,62,3000,0.36004703
1550,2.4,62,3200,0.600243163
1550,2.4,62,3400,0.808831443
1550,2.4,62,3600,0.934090215
1550,2.4,62,3800,0.942522046
1550,2.4,62,4000,0.832336098
1550,2.4,64,2000,0.294420759
1550,2.4,64,2200,0.108439568
1550,2.4,64,2400,0.008468512
1550,2.4,64,2600,0.023135781
1550,2.4,64,2800,0.14977874
1550,2.4,64,3000,0.35975289
1550,2.4,64,3200,0.597419187
1550,2.4,64,3400,0.802752411
1550,2.4,64,3600,0.924859725
1550,2.4,64,3800,0.929708197
1550,2.4,64,4000,0.81799261
1550,2.4,66,2000,0.287202239
1550,2.4,66,2200,0.104787491
1550,2.4,66,2400,0.007583492
1550,2.4,66,2600,0.024141221
1550,2.4,66,2800,0.151166794
1550,2.4,66,3000,0.360139687
1550,2.4,66,3200,0.594476685
1550,2.4,66,3400,0.795318255
1550,2.4,66,3600,0.912883287
1550,2.4,66,3800,0.912753126
1550,2.4,66,4000,0.798636151
1550,2.4,68,2000,0.278124424
1550,2.4,68,2200,0.100216351
1550,2.4,68,2400,0.006592426
1550,2.4,68,2600,0.025512138
1550,2.4,68,2800,0.1529525
1550,2.4,68,3000,0.360498053
1550,2.4,68,3200,0.590610491
1550,2.4,68,3400,0.785815721
1550,2.4,68,3600,0.897771059
1550,2.4,68,3800,0.891734666
1550,2.4,68,4000,0.77481886
1550,2.4,70,2000,0.267351294
1550,2.4,70,2200,0.094931405
1550,2.4,70,2400,0.005582018
1550,2.4,70,2600,0.027082672
1550,2.4,70,2800,0.154650666
1550,2.4,70,3000,0.360064335
1550,2.4,70,3200,0.584918706
1550,2.4,70,3400,0.773397139
1550,2.4,70,3600,0.878964986
1550,2.4,70,3800,0.866552011
1550,2.4,70,4000,0.746918837
1550,2.5,50,2000,0.174069506
1550,2.5,50,2200,0.035318644
1550,2.5,50,2400,0.017316114
1550,2.5,50,2600,0.12698274
1550,2.5,50,2800,0.335732798
1550,2.5,50,3000,0.584972179
1550,2.5,50,3200,0.806407342
1550,2.5,50,3400,0.932109286
1550,2.5,50,3600,0.932802781
1550,2.5,50,3800,0.799857839
1550,2.5,50,4000,0.57710379
1550,2.5,52,2000,0.186378607
1550,2.5,52,2200,0.038673183
1550,2.5,52,2400,0.010472896
1550,2.5,52,2600,0.110777256
1550,2.5,52,2800,0.314333352
1550,2.5,52,3000,0.564813116
1550,2.5,52,3200,0.792526305
1550,2.5,52,3400,0.930540483
1550,2.5,52,3600,0.944672327
1550,2.5,52,3800,0.824469274
1550,2.5,52,4000,0.606927178
1550,2.5,54,2000,0.194475433
1550,2.5,54,2200,0.041501324
1550,2.5,54,2400,0.006708598
1550,2.5,54,2600,0.100514603
1550,2.5,54,2800,0.300131307
1550,2.5,54,3000,0.550808972
1550,2.5,54,3200,0.782485687
1550,2.5,54,3400,0.928969027
1550,2.5,54,3600,0.952858288
1550,2.5,54,3800,0.841953962
1550,2.5,54,4000,0.629692125
1550,2.5,56,2000,0.199813515
1550,2.5,56,2200,0.043662666
1550,2.5,56,2400,0.00447234
1550,2.5,56,2600,0.093805541
1550,2.5,56,2800,0.290529853
1550,2.5,56,3000,0.540887005
1550,2.5,56,3200,0.774697463
1550,2.5,56,3400,0.926582095
1550,2.5,56,3600,0.956658143
1550,2.5,56,3800,0.852034927
1550,2.5,56,4000,0.643654416
1550,2.5,58,2000,0.202582758
1550,2.5,58,2200,0.044910645
1550,2.5,58,2400,0.003150289
1550,2.5,58,2600,0.089633839
1550,2.5,58,2800,0.28431319
1550,2.5,58,3000,0.533926489
1550,2.5,58,3200,0.768307376
1550,2.5,58,3400,0.92301635
1550,2.5,58,3600,0.956209041
1550,2.5,58,3800,0.855330761
1550,2.5,58,4000,0.649552409
1550,2.5,60,2000,0.203059581
1550,2.5,60,2200,0.045239032
1550,2.5,60,2400,0.002411375
1550,2.5,60,2600,0.087331117
1550,2.5,60,2800,0.280606392
1550,2.5,60,3000,0.529076847
1550,2.5,60,3200,0.762662327
1550,2.5,60,3400,0.918030453
1550,2.5,60,3600,0.951750837
1550,2.5,60,3800,0.852517463
1550,2.5,60,4000,0.648280725
1550,2.5,62,2000,0.201526872
1550,2.5,62,2200,0.044737378
1550,2.5,62,2400,0.002072961
1550,2.5,62,2600,0.086413163
1550,2.5,62,2800,0.278712309
1550,2.5,62,3000,0.525606046
1550,2.5,62,3200,0.757167102
1550,2.5,62,3400,0.91138172
1550,2.5,62,3600,0.943490952
1550,2.5,62,3800,0.844232788
1550,2.5,62,4000,0.640763531
1550,2.5,64,2000,0.198256132
1550,2.5,64,2200,0.043538842
1550,2.5,64,2400,0.002030324
1550,2.5,64,2600,0.086488972
1550,2.5,64,2800,0.278014659
1550,2.5,64,3000,0.522815264
1550,2.5,64,3200,0.751212805
1550,2.5,64,3400,0.902771848
1550,2.5,64,3600,0.931557948
1550,2.5,64,3800,0.831039882
1550,2.5,64,4000,0.62789762
1550,2.5,66,2000,0.193498199
1550,2.5,66,2200,0.041793078
1550,2.5,66,2400,0.002216943
1550,2.5,66,2600,0.087208601
1550,2.5,66,2800,0.277922158
1550,2.5,66,3000,0.519987208
1550,2.5,66,3200,0.744134307
1550,2.5,66,3400,0.891814675
1550,2.5,66,3600,0.91597305
1550,2.5,66,3800,0.813402345
1550,2.5,66,4000,0.610511164
1550,2.5,68,2000,0.187487846
1550,2.5,68,2200,0.039653857
1550,2.5,68,2400,0.002578905
1550,2.5,68,2600,0.088223734
1550,2.5,68,2800,0.277826053
1550,2.5,68,3000,0.516337817
1550,2.5,68,3200,0.735169093
1550,2.5,68,3400,0.878004866
1550,2.5,68,3600,0.896618436
1550,2.5,68,3800,0.791661316
1550,2.5,68,4000,0.589330688
1550,2.5,70,2000,0.180554987
1550,2.5,70,2200,0.037308785
1550,2.5,70,2400,0.003044839
1550,2.5,70,2600,0.089099661
1550,2.5,70,2800,0.277018488
1550,2.5,70,3000,0.510891892
1550,2.5,70,3200,0.723367983
1550,2.5,70,3400,0.860677833
1550,2.5,70,3600,0.873188252
1550,2.5,70,3800,0.766043683
1550,2.5,70,4000,0.564983348
1550,2.6,50,2000,0.105857111
1550,2.6,50,2200,0.011035613
1550,2.6,50,2400,0.059754611
1550,2.6,50,2600,0.233124779
1550,2.6,50,2800,0.479162184
1550,2.6,50,3000,0.725194819
1550,2.6,50,3200,0.905796788
1550,2.6,50,3400,0.947156648
1550,2.6,50,3600,0.845925034
1550,2.6,50,3800,0.630819352
1550,2.6,50,4000,0.458768034
1550,2.6,52,2000,0.110986697
1550,2.6,52,2200,0.011428566
1550,2.6,52,2400,0.145265449
1550,2.6,52,2600,0.215514888
1550,2.6,52,2800,0.459963378
1550,2.6,52,3000,0.713464993
1550,2.6,52,3200,0.894014621
1550,2.6,52,3400,0.955785872
1550,2.6,52,3600,0.862826571
1550,2.6,52,3800,0.656081894
1550,2.6,52,4000,0.395119664
1550,2.6,54,2000,0.115814893
1550,2.6,54,2200,0.010112695
1550,2.6,54,2400,0.038086707
1550,2.6,54,2600,0.195349166
1550,2.6,54,2800,0.463541577
1550,2.6,54,3000,0.703071676
1550,2.6,54,3200,0.889800883
1550,2.6,54,3400,0.95673681
1550,2.6,54,3600,0.87757484
1550,2.6,54,3800,0.67760712
1550,2.6,54,4000,0.39958761
1550,2.6,56,2000,0.114884181
1550,2.6,56,2200,0.009493811
1550,2.6,56,2400,0.03421015
1550,2.6,56,2600,0.189938856
1550,2.6,56,2800,0.432973521
1550,2.6,56,3000,0.689328062
1550,2.6,56,3200,0.880792135
1550,2.6,56,3400,0.955924913
1550,2.6,56,3600,0.883259383
1550,2.6,56,3800,0.686630944
1550,2.6,56,4000,0.427476057
1550,2.6,58,2000,0.125602449
1550,2.6,58,2200,0.011217372
1550,2.6,58,2400,0.027762385
1550,2.6,58,2600,0.152648353
1550,2.6,58,2800,0.433188752
1550,2.6,58,3000,0.685724359
1550,2.6,58,3200,0.879119552
1550,2.6,58,3400,0.955173418
1550,2.6,58,3600,0.885595985
1550,2.6,58,3800,0.692152983
1550,2.6,58,4000,0.434632589
1550,2.6,60,2000,0.124204144
1550,2.6,60,2200,0.010048732
1550,2.6,60,2400,0.028503148
1550,2.6,60,2600,0.178858646
1550,2.6,60,2800,0.41741497
1550,2.6,60,3000,0.686278205
1550,2.6,60,3200,0.873407299
1550,2.6,60,3400,0.949998093
1550,2.6,60,3600,0.882397779
1550,2.6,60,3800,0.691184333
1550,2.6,60,4000,0.43681569
1550,2.6,62,2000,0.12671284
1550,2.6,62,2200,0.005183946
1550,2.6,62,2400,0.029648332
1550,2.6,62,2600,0.179417134
1550,2.6,62,2800,0.418756778
1550,2.6,62,3000,0.671510455
1550,2.6,62,3200,0.866249998
1550,2.6,62,3400,0.941926759
1550,2.6,62,3600,0.87504902
1550,2.6,62,3800,0.673090999
1550,2.6,62,4000,0.425329741
1550,2.6,64,2000,0.118228558
1550,2.6,64,2200,0.0084921
1550,2.6,64,2400,0.028708003
1550,2.6,64,2600,0.177808011
1550,2.6,64,2800,0.415031484
1550,2.6,64,3000,0.661842623
1550,2.6,64,3200,0.863101265
1550,2.6,64,3400,0.930718992
1550,2.6,64,3600,0.860663802
1550,2.6,64,3800,0.66986167
1550,2.6,64,4000,0.416579622
1550,2.6,66,2000,0.116883568
1550,2.6,66,2200,0.008077427
1550,2.6,66,2400,0.028472307
1550,2.6,66,2600,0.175014074
1550,2.6,66,2800,0.429446766
1550,2.6,66,3000,0.663263718
1550,2.6,66,3200,0.84946882
1550,2.6,66,3400,0.916576212
1550,2.6,66,3600,0.84493138
1550,2.6,66,3800,0.655630116
1550,2.6,66,4000,0.392566311
1550,2.6,68,2000,0.113722768
1550,2.6,68,2200,0.007611941
1550,2.6,68,2400,0.026548702
1550,2.6,68,2600,0.184173464
1550,2.6,68,2800,0.413801785
1550,2.6,68,3000,0.653622483
1550,2.6,68,3200,0.83665108
1550,2.6,68,3400,0.898846198
1550,2.6,68,3600,0.546501465
1550,2.6,68,3800,0.631615686
1550,2.6,68,4000,0.384708807
1550,2.6,70,2000,0.109945793
1550,2.6,70,2200,0.007576869
1550,2.6,70,2400,0.03600089
1550,2.6,70,2600,0.179799087
1550,2.6,70,2800,0.408802779
1550,2.6,70,3000,0.642207587
1550,2.6,70,3200,0.820362308
1550,2.6,70,3400,0.877781291
1550,2.6,70,3600,0.798593641
1550,2.6,70,3800,0.609653976
1550,2.6,70,4000,0.366389076
1550,2.7,50,2000,0.057252585
1550,2.7,50,2200,0.015508503
1550,2.7,50,2400,0.122157776
1550,2.7,50,2600,0.333317639
1550,2.7,50,2800,0.613378128
1550,2.7,50,3000,0.813398448
1550,2.7,50,3200,0.945289557
1550,2.7,50,3400,0.896732337
1550,2.7,50,3600,0.710678467
1550,2.7,50,3800,0.449431456
1550,2.7,50,4000,0.187511661
1550,2.7,52,2000,0.035800476
1550,2.7,52,2200,0.008113886
1550,2.7,52,2400,0.112395315
1550,2.7,52,2600,0.327732957
1550,2.7,52,2800,0.592306586
1550,2.7,52,3000,0.824275963
1550,2.7,52,3200,0.94533865
1550,2.7,52,3400,0.885483558
1550,2.7,52,3600,0.73201287
1550,2.7,52,3800,0.464227724
1550,2.7,52,4000,0.209797425
1550,2.7,54,2000,0.058704316
1550,2.7,54,2200,0.005593198
1550,2.7,54,2400,0.09772224
1550,2.7,54,2600,0.308052563
1550,2.7,54,2800,0.212673259
1550,2.7,54,3000,0.816409577
1550,2.7,54,3200,0.943467699
1550,2.7,54,3400,0.917430028
1550,2.7,54,3600,0.748151912
1550,2.7,54,3800,0.488226692
1550,2.7,54,4000,0.22735705
1550,2.7,56,2000,0.062123641
1550,2.7,56,2200,0.003189821
1550,2.7,56,2400,0.090431986
1550,2.7,56,2600,0.280800007
1550,2.7,56,2800,0.57767373
1550,2.7,56,3000,0.80957939
1550,2.7,56,3200,0.940672259
1550,2.7,56,3400,0.922237718
1550,2.7,56,3600,0.777416561
1550,2.7,56,3800,0.493786422
1550,2.7,56,4000,0.237168438
1550,2.7,58,2000,0.066367012
1550,2.7,58,2200,0.109004304
1550,2.7,58,2400,0.08871129
1550,2.7,58,2600,0.294565113
1550,2.7,58,2800,0.564836315
1550,2.7,58,3000,0.797519933
1550,2.7,58,3200,0.936666577
1550,2.7,58,3400,0.920156164
1550,2.7,58,3600,0.751536578
1550,2.7,58,3800,0.50291336
1550,2.7,58,4000,0.246331772
1550,2.7,60,2000,0.069461214
1550,2.7,60,2200,0.005578955
1550,2.7,60,2400,0.086101408
1550,2.7,60,2600,0.292011284
1550,2.7,60,2800,0.555696536
1550,2.7,60,3000,0.787065299
1550,2.7,60,3200,0.931246237
1550,2.7,60,3400,0.914811357
1550,2.7,60,3600,0.753135461
1550,2.7,60,3800,0.503296601
1550,2.7,60,4000,0.251453663
1550,2.7,62,2000,0.0648355
1550,2.7,62,2200,4.22E-04
1550,2.7,62,2400,0.08379547
1550,2.7,62,2600,0.2820852
1550,2.7,62,2800,0.55672056
1550,2.7,62,3000,0.788032877
1550,2.7,62,3200,0.923793541
1550,2.7,62,3400,0.908085163
1550,2.7,62,3600,0.73158539
1550,2.7,62,3800,0.493279129
1550,2.7,62,4000,0.237659617
1550,2.7,64,2000,0.062169598
1550,2.7,64,2200,3.36E-04
1550,2.7,64,2400,0.079529869
1550,2.7,64,2600,0.271858164
1550,2.7,64,2800,0.5573582
1550,2.7,64,3000,0.782697952
1550,2.7,64,3200,0.913155285
1550,2.7,64,3400,0.895947366
1550,2.7,64,3600,0.743744207
1550,2.7,64,3800,0.480732877
1550,2.7,64,4000,0.237064107
1550,2.7,66,2000,0.059604004
1550,2.7,66,2200,3.26E-04
1550,2.7,66,2400,0.0815471
1550,2.7,66,2600,0.281820915
1550,2.7,66,2800,0.338995159
1550,2.7,66,3000,0.772533783
1550,2.7,66,3200,0.901402371
1550,2.7,66,3400,0.879200101
1550,2.7,66,3600,0.721318121
1550,2.7,66,3800,0.471432421
1550,2.7,66,4000,0.221584561
1550,2.7,68,2000,0.055257852
1550,2.7,68,2200,2.70E-04
1550,2.7,68,2400,0.083983008
1550,2.7,68,2600,0.282990765
1550,2.7,68,2800,0.530780326
1550,2.7,68,3000,0.760617986
1550,2.7,68,3200,0.88152937
1550,2.7,68,3400,0.855834665
1550,2.7,68,3600,0.700365908
1550,2.7,68,3800,0.454276488
1550,2.7,68,4000,0.208537654
1550,2.7,70,2000,0.064812018
1550,2.7,70,2200,1.48E-04
1550,2.7,70,2400,0.090102585
1550,2.7,70,2600,0.282253322
1550,2.7,70,2800,0.524638789
1550,2.7,70,3000,0.748134088
1550,2.7,70,3200,0.863641572
1550,2.7,70,3400,0.848927487
1550,2.7,70,3600,0.679419048
1550,2.7,70,3800,0.443749306
1550,2.7,70,4000,0.189505902
1550,2.8,50,2000,0.012671285
1550,2.8,50,2200,0.163853572
1550,2.8,50,2400,0.206714756
1550,2.8,50,2600,0.512778805
1550,2.8,50,2800,0.728615917
1550,2.8,50,3000,0.917302524
1550,2.8,50,3200,0.938286319
1550,2.8,50,3400,0.803258716
1550,2.8,50,3600,0.625223236
1550,2.8,50,3800,0.279191674
1550,2.8,50,4000,0.068835432
1550,2.8,52,2000,0.021176233
1550,2.8,52,2200,0.029110757
1550,2.8,52,2400,0.184574237
1550,2.8,52,2600,0.08657458
1550,2.8,52,2800,0.707751497
1550,2.8,52,3000,0.900315216
1550,2.8,52,3200,0.744143308
1550,2.8,52,3400,0.818063946
1550,2.8,52,3600,0.562503633
1550,2.8,52,3800,0.29087204
1550,2.8,52,4000,0.079073953
1550,2.8,54,2000,0.023517687
1550,2.8,54,2200,0.021452029
1550,2.8,54,2400,0.170271903
1550,2.8,54,2600,0.448389746
1550,2.8,54,2800,0.69552242
1550,2.8,54,3000,0.893125959
1550,2.8,54,3200,0.950283549
1550,2.8,54,3400,0.836121913
1550,2.8,54,3600,0.588383978
1550,2.8,54,3800,0.315256797
1550,2.8,54,4000,0.0869586
1550,2.8,56,2000,0.025595636
1550,2.8,56,2200,0.00973273
1550,2.8,56,2400,0.164640023
1550,2.8,56,2600,0.424625164
1550,2.8,56,2800,0.680788785
1550,2.8,56,3000,0.887924067
1550,2.8,56,3200,0.936832923
1550,2.8,56,3400,0.834739633
1550,2.8,56,3600,0.596313926
1550,2.8,56,3800,0.323924393
1550,2.8,56,4000,0.105142356
1550,2.8,58,2000,0.027841962
1550,2.8,58,2200,0.225352353
1550,2.8,58,2400,0.163047116
1550,2.8,58,2600,0.412218228
1550,2.8,58,2800,0.66786195
1550,2.8,58,3000,0.884467209
1550,2.8,58,3200,0.94064788
1550,2.8,58,3400,0.834790823
1550,2.8,58,3600,0.595040097
1550,2.8,58,3800,0.317891855
1550,2.8,58,4000,0.095306077
1550,2.8,60,2000,0.028506016
1550,2.8,60,2200,0.097658934
1550,2.8,60,2400,0.160007436
1550,2.8,60,2600,0.405808571
