lambda (nm),n,alpha (deg),f,TM
1300,1.2,46,0.32,0.348359806
1300,1.2,46,0.34,0.391506856
1300,1.2,46,0.36,0.430526341
1300,1.2,46,0.38,0.464341547
1300,1.2,46,0.4,0.492432117
1300,1.2,46,0.42,0.514540515
1300,1.2,46,0.44,0.531011619
1300,1.2,46,0.46,0.54235809
1300,1.2,46,0.48,0.549160813
1300,1.2,46,0.5,0.551792724
1300,1.2,48,0.3,0.257364755
1300,1.2,48,0.32,0.296788023
1300,1.2,48,0.34,0.334170991
1300,1.2,48,0.36,0.368273265
1300,1.2,48,0.38,0.398089707
1300,1.2,48,0.4,0.423044717
1300,1.2,48,0.42,0.44270428
1300,1.2,48,0.44,0.457138489
1300,1.2,48,0.46,0.466471238
1300,1.2,48,0.48,0.470712537
1300,1.2,48,0.5,0.469202014
1300,1.2,50,0.3,0.214536114
1300,1.2,50,0.32,0.248134161
1300,1.2,50,0.34,0.280346455
1300,1.2,50,0.36,0.310149626
1300,1.2,50,0.38,0.336626361
1300,1.2,50,0.4,0.359132557
1300,1.2,50,0.42,0.377003069
1300,1.2,50,0.44,0.389816474
1300,1.2,50,0.46,0.396634629
1300,1.2,50,0.48,0.394341584
1300,1.2,50,0.5,0.367412265
1300,1.3,30,0.3,0.613583665
1300,1.3,30,0.32,0.695186986
1300,1.3,30,0.34,0.766956351
1300,1.3,30,0.36,0.826461274
1300,1.3,30,0.38,0.872917189
1300,1.3,30,0.4,0.907006487
1300,1.3,30,0.42,0.930610779
1300,1.3,30,0.44,0.946058944
1300,1.3,30,0.46,0.955712233
1300,1.3,30,0.48,0.961535275
1300,1.3,30,0.5,0.96486881
1300,1.3,32,0.3,0.608842484
1300,1.3,32,0.32,0.690219871
1300,1.3,32,0.34,0.762042968
1300,1.3,32,0.36,0.821821321
1300,1.3,32,0.38,0.86871921
1300,1.3,32,0.4,0.903351385
1300,1.3,32,0.42,0.927497248
1300,1.3,32,0.44,0.943435849
1300,1.3,32,0.46,0.953491862
1300,1.3,32,0.48,0.959614017
1300,1.3,32,0.5,0.963140621
1300,1.3,34,0.3,0.592110435
1300,1.3,34,0.32,0.671757576
1300,1.3,34,0.34,0.742364651
1300,1.3,34,0.36,0.801428254
1300,1.3,34,0.38,0.84804841
1300,1.3,34,0.4,0.882738832
1300,1.3,34,0.42,0.907114407
1300,1.3,34,0.44,0.923353
1300,1.3,34,0.46,0.933699021
1300,1.3,34,0.48,0.940057118
1300,1.3,34,0.5,0.943752886
1300,1.3,36,0.3,0.56504117
1300,1.3,36,0.32,0.641586249
1300,1.3,36,0.34,0.709785059
1300,1.3,36,0.36,0.767172438
1300,1.3,36,0.38,0.81278214
1300,1.3,36,0.4,0.847005015
1300,1.3,36,0.42,0.871245729
1300,1.3,36,0.44,0.887537814
1300,1.3,36,0.46,0.898006798
1300,1.3,36,0.48,0.904487029
1300,1.3,36,0.5,0.908282614
1300,1.3,38,0.3,0.529635326
1300,1.3,38,0.32,0.601860038
1300,1.3,38,0.34,0.666545555
1300,1.3,38,0.36,0.721318127
1300,1.3,38,0.38,0.765155878
1300,1.3,38,0.4,0.798318092
1300,1.3,38,0.42,0.821972406
1300,1.3,38,0.44,0.837974096
1300,1.3,38,0.46,0.848297498
1300,1.3,38,0.48,0.854682577
1300,1.3,38,0.5,0.858408167
1300,1.3,40,0.3,0.488160926
1300,1.3,40,0.32,0.554900758
1300,1.3,40,0.34,0.614929318
1300,1.3,40,0.36,0.666018148
